uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,TypeClean,Type Note,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1000031662963912128,8570,Verka Dolezalkova,2022-09-12 06:25:29.389 GMT,Verka Dolezalkova,2022-09-12T06:26:27Z,8570,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,low and eroded,Annual agriculture,,Scrub,,Hilltop,Low,42.118146666666675,26.704065,4662936.419832499,475536.74431794946,1.0,001,,East,photo ID 114-0701 to114-0703,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8570_1.jpg''}}",0.5,42,NA,NA,,,Artefact scatter,worn small pottery fragments,No,LA to Ottoman and modern,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_2.jpg''}}",4 - seriously damaged,Anthropogenic,ploughed,3 - impaired,Agriculture,,Last month,,,,,POINT(475536.744318 4662936.419832)
1000081662964166529,8733,Matilde Jensen,2022-09-12 06:30:04.142 GMT,Matilde Jensen,2022-09-12T06:30:59Z,8733,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,Low mound lozenge shape which was ploughed around,Annual agriculture,,Pasture,grassland,Hilltop,Medium,42.117659999999994,26.704163333333334,4662882.356449052,475544.6858638986,1.2,001,,East,939-940,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8733_1.jpg''}}",0.7,35,0.2,20,,lozenge shaped ,Loose artefacts,Highly fragmented corse kitchen and fine ware and couple of large stones,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,none,A mound behind the water pump with a few stones on top. Map id: 205251,,POINT(475544.685864 4662882.356449)
1000031662966625349,8571,Verka Dolezalkova,2022-09-12 07:10:30.523 GMT,Verka Dolezalkova,2022-09-12T07:20:50Z,8571,12 Sep,Verka Dolezalkova,Extinct Burial Mound,,Survey,"very destroyed, uncertain mound",Annual agriculture,,Annual agriculture,,Lower slope,Low,42.11789999999999,26.70474166666667,4662908.838569708,475592.5858814789,1.2,002,,Northwest,photos 114-0707 to 114-0708,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8571_1.jpg''}}",0.2,32,NA,NA,,"very destroyed, very hard to find the exact border ",Artefact scatter,"very worn ceramics, small fragments, prehistoric to Ottoman ",No,"prehistoric, ancient , Ottoman ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_3.jpg''}}",5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,"down the slope, northeast from the mound there is a loose stone scatter, the stones are possibly plouged out from the mound",,,POINT(475592.585881 4662908.83857)
1000081662966870129,8734,Matilde Jensen,2022-09-12 07:15:22.091 GMT,Matilde Jensen,2022-09-12T07:19:17Z,8734,12 Sep,Matilde Jensen,Burial Mound,,Survey,ploughed over terrain way with a distinct lighter soil. Next to the legacy mound 8734. ,Annual agriculture,,Annual agriculture,,Hilltop,Low,42.11757666666667,26.704605,4662872.9775063805,475581.16424391995,1.1,002,,Southeast,944,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8734_1.jpg''}}",1.1,25,0.7,17,,,Loose artefacts,course kitchen and fine ware. light soil on top of mound. A fragment of a rim. red fabric with black and white inclusions + one gw,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(475581.164244 4662872.977506)
1000031662970046328,8572,Verka Dolezalkova,2022-09-12 08:07:31.523 GMT,Verka Dolezalkova,2022-09-12T08:09:15Z,8572,12 Sep,Verka Dolezalkova,Burial Mound,,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,Medium,42.125568333333334,26.70636833333333,4663759.8006493375,475729.9803693075,1.5,003,,West,114-0713 to 114-0714,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8572_1.jpg''}}",2.2,41,NA,NA,,round,Other,loose stones ,No,,,2 - minor damage,Post-depositional,,3 - impaired,Animal activity,,Last year,,,,,POINT(475729.980369 4663759.800649)
1000081662969979195,8735,Matilde Jensen,2022-09-12 08:07:31.841 GMT,Matilde Jensen,2022-09-12T08:07:31Z,8735,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,5-6 meter tall mound in forest south of Slaveykovo. overgrown by scrub. big and hard to access (no road). numerous RTs  ,Forest,,Forest,,Valley Bottom or Plain,High (Obscured by forest ),42.1162,26.698603333333335,4662721.857316051,475084.4965945166,1.3,003,241,Southeast,952,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8735_1.jpg''}}",6,40,NA,NA,,,,,No,,,3 - damaged,Looting,Forest and animals ,2 - good,Looting,,Last month,,"01, pear-shaped, 3m, 2m, 1.3m, manually excavated; 02, round, 6m, 5m,1m, manually excavated; 03, C
Cresent, 10m, 5m, 2m, manually excavated ",number 03 overgrown with trees,,POINT(475084.496595 4662721.857316)
1000031662971035944,8573,Verka Dolezalkova,2022-09-12 08:24:08.692 GMT,Verka Dolezalkova,2022-09-12T08:25:28Z,8573,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,,Scrub,,Pasture,grassland,Upper slope,High,42.12585666666667,26.70602333333333,4663791.912798291,475701.57467277406,1.5,004,,Northwest,114-0715 to 114-0717,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8573_1.jpg''}}",4,33,NA,NA,,round,Loose artefacts,"Roman  ceramic
",No,Roman,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_2.jpg''}}",4 - seriously damaged,Looting,animal burrows,4 - minimal,Looting,,Unknown,,"Two Rt
one goes west-north
rectangular and 6x2 m

 and one goes east-north
8x5 m
","scatter of stones, pulled out from the mound","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_3.jpg''}}",POINT(475701.574673 4663791.912798)
1000081662972354982,8736,Matilde Jensen,2022-09-12 08:46:02.885 GMT,Matilde Jensen,2022-09-12T08:47:43Z,8736,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,"shallow low mound in a clearance in the forest next to mound 8735. no recent damage, low visibility ",Forest,,Forest,,Valley Bottom or Plain,High,42.11637166666666,26.698154999999996,4662741.048530672,475047.50161106116,1.5,004,,North,955,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8736_1.jpg''}}",0.5,20,NA,13,,,,,No,,,5 - extinct or near extinct,Looting?,,4 - minimal,Looting,,Unknown,,,,,POINT(475047.501611 4662741.048531)
1000031662972805441,8574,Verka Dolezalkova,2022-09-12 08:53:30.643 GMT,Verka Dolezalkova,2022-09-12T08:54:07Z,8574,12 Sep,Verka Dolezalkova,Burial Mound,,Survey,"round, looted mound ",Scrub,,Pasture,grassland,Upper slope,High,42.125994999999996,26.706396666666667,4663807.166016039,475732.4850865701,1.2,005,,Northwest,114-0723,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8574_1.jpg''}}",4.5,36,NA,NA,,round,,,No,,,4 - seriously damaged,Looting,animals ,4 - minimal,Looting,,Unknown,,1 Large RT in northwest direction. on top there is a geodetic point,"RT is 10 X 8 meters, 1,4 of the mound is damaged/gone","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8574_1.jpg''}}",POINT(475732.485087 4663807.166016)
1000081662973553876,8737,Matilde Jensen,2022-09-12 09:06:06.380 GMT,Matilde Jensen,2022-09-12T09:13:15Z,8737,12 Sep,Matilde Jensen,Burial Mound,,Legacy verification,Scrub on top of the mound with a little clearance ,Forest,,Scrub,,Valley Bottom or Plain,High,42.11712666666667,26.697258333333334,4662825.139423826,474973.6742157297,1.4,005,247,Northeast,0958,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8737_1.jpg''}}",6,50,NA,NA,,,,none,No,,,2 - minor damage,Looting,,1 - full,Looting,,Unknown,,"01,rect,6m,4m,1m,",An armored personal carrier with 3 fireteam implacememts,,POINT(474973.674216 4662825.139424)
