uuid,identifier,BurialMoundAuthor,TypeClean,Type Note,HeightMax,DiameterMax,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1000021663739054859,8635,Adela Sobotkova,Burial Mound,,3.5,46,Adela Sobotkova,2022-09-21 05:44:24.916 GMT,Adela Sobotkova,2022-09-21 05:44:24 GMT,8635,21 Sep,Legacy verification,"big burial mound located in a wheat field. mound is located west of a dirt road. The mound is overgrown by a dense forest, which made it hard to explore. ",Annual agriculture,,Forest,,Valley Bottom or Plain,High,42.325603333333326,26.739079999999998,4685961.579899135,478501.7284551133,1.4,063,233,West,114-052,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8635_1.jpg''}}",NA,NA,,round burial mound ,,none ,No,,,2 - minor damage,Agriculture,,3 - impaired,Agriculture,,Last month,,no observation as we couldn''t explore the mound,,,POINT(478501.728455 4685961.579899)
1000021663739157887,8768,Adela Sobotkova,Extinct Burial Mound,,1.7,20,Adela Sobotkova,2022-09-21 05:46:43.453 GMT,Adela Sobotkova,2022-09-21 06:01:56 GMT,8768,21 Sep,Legacy verification,"overgrown C-shape remnants of a cratered mound immediately east of the road, at the dirt road, overgrown with scrub and tall grass, robbed or excavated a long time ago, details cannot be determined. the crater could be a tank emplacement but it is more wide and open to the east than a tank emplacement.",Scrub,,Scrub,,Hilltop,Low,42.29876833333333,26.83783,4682961.728789759,486632.4724435375,1.2,036,236,North,293-294,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8768_1.jpg''}}",0,15,,,,no material visible ,No,none,,5 - extinct or near extinct,Looting (maybe excavated )??,"animal burrowing, trees, roses",5 - none or nearly none,Animal activity,,Last year,,"this is a 01, V-shape, 8,7,1.6, either an RT or a tank emplacement, only south part of earthworks visible, north part obscured thoroughly by scrubs. ",none,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8768_1.jpg''}}",POINT(486632.472444 4682961.72879)
1000021663740046765,8636,Adela Sobotkova,Surface Scatter,,0,100,Adela Sobotkova,2022-09-21 06:01:31.712 GMT,Adela Sobotkova,2022-09-21 06:01:31 GMT,8636,21 Sep,Survey,sherds of pottery situated in the middle of a ploughed field. Roman pottery sherds including common and corse ware,Annual agriculture,,Annual agriculture,,,Nil (no observation ),42.323969999999996,26.737871666666667,4685780.528279602,478401.61016225896,1.1,064,,Northeast,114-0753 to 114-0754,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8636_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8636_2.jpg''}}",NA,NA,pottery scatter in the radius of 100m,,Artefact scatter,common and corse Roman artifacts discovered in a ploughed field ,Yes,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,no observation ,,,POINT(478401.610162 4685780.52828)
1000021663741703207,8637,Adela Sobotkova,Burial Mound,,3.5,35,Adela Sobotkova,2022-09-21 06:28:27.143 GMT,Adela Sobotkova,2022-09-21 06:37:26 GMT,8637,21 Sep,Survey,burial mound looted several times in different timeperiods. mound is big and round with grass on top. in the surroundings the area is characterized by dense forest. the dense forest made the determination of the mound and RT hard. ,Forest,,Pasture,grassland,Valley Bottom or Plain,High,42.31661166666666,26.73262666666667,4684964.838938931,477966.87454265624,1.7,065,,West,755 to 762,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8637_1.jpg''}}",NA,NA,,round ,,none,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"01,elongated, 4m,2m,0.5, the oldest, overgrown, hard to track dimensions 
02, round, 3m,3m,0.5, freshly excavated 
03,shallow and round, 2.5m,0.3, manually excavated recently 
see drawing for location on mound","possibly more RT, impossible to trace them due to dense vegetation ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8637_1a.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8637_2a.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8637_3a.jpg''}}",POINT(477966.874543 4684964.838939)
1000021663742344574,8769,Adela Sobotkova,Other,,2.2,10,Adela Sobotkova,2022-09-21 06:39:28.765 GMT,Adela Sobotkova,2022-09-21 06:49:24 GMT,8769,21 Sep,Survey,"military feature, tank emplacement, authentic road intersection after the creek crossing, south of the road, open to the west, overgrown with trees",Scrub,,Scrub,,Lower slope,Low,42.29672333333333,26.841261666666664,4682734.1297495,486914.91835076804,1.5,0.37,237,Southeast,296,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8769_1.jpg''}}",NA,8,no,tank emplacement,,none,No,,,0 - No observation,Other (military),vegetation,No observation,Other,specify in Annotation) (vegetation),Not relevant,,tank emplacement,none,,POINT(486914.918351 4682734.129749)
1000021663743633219,8638,Adela Sobotkova,Burial Mound,,6,48,Adela Sobotkova,2022-09-21 07:00:37.260 GMT,Adela Sobotkova,2022-09-21 07:02:59 GMT,8638,21 Sep,Legacy verification,"high and big burial mound located in wheat fields. In the periphery of the mound, trees and scrub is situated. on top of the mound we found an old RT. next to the RT, we discovered a geodetic marker. in the surroundings of the mound on the ploughed fields a high concentration of Roman bricks is located. on the south side or slope there is a water reservoir.",Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,High,42.31621499999999,26.743458333333333,4684918.047585573,478859.3350036001,1.5,066,,Southwest,0063 to 0069,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8638_1.jpg''}}",NA,NA,,,,"Roman tiles, Roman A.C, red sherds ",No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8638_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8638_2.jpg''}}",3 - damaged,Looting,Geodetic work,3 - impaired,Looting,,Other,very old overgrown RT),"01, rectangular, 3m,2m,1m, manually excavated several years ago ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8638_1.jpg''}}",POINT(478859.335004 4684918.047586)
1000021663744743144,8770,Adela Sobotkova,Burial Mound?,,0.8,8,Adela Sobotkova,2022-09-21 07:19:08.335 GMT,Adela Sobotkova,2022-09-21 07:19:08 GMT,8770,21 Sep,Legacy verification,"very uncertain bump of earth right next to dirt road covered by scrub and trees, legacy number 200790, disrupted terrain, hard to make out any outlines and feature confines, possibly extinct or not found. quite accessible fields around",Annual agriculture,,Forest,sparse forest,Hilltop (middle of a ridge),Low,42.300756666666665,26.853125,4683180.214505988,487893.6067323319,1.2,38,258,South,302303,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8770_1.jpg''}}",NA,NA,,"from the bottom of the trench to the bottom of the trench/internal, a bump with a trench around donut-like, two concentric circles ","Other (other irregular trenches, doesn''t seem military)",no,No,no,,5 - extinct or near extinct,Post-depositional,,5 - none or nearly none,Unknown,,Unknown,,none,very uncertain feature ,,POINT(487893.606732 4683180.214506)
1000101663745609001,8639,Matilde Jensen,Uncertain Feature,possibly a geodetic marker),6,35,Matilde Jensen,2022-09-21 07:33:38.087 GMT,Matilde Jensen,2022-09-21 07:33:38 GMT,8639,21 Sep,Legacy verification,An uncertain feature located close to a lake/reservoir. close to the uncertain feature a Gipsy village is located possibly abandoned. Maybe a Geodetic marker on top of the feature. ,Urban,in a settlement or surrounded by infrastructure,Scrub,,Valley Bottom or Plain,High,42.307323333333336,26.744251666666667,4683930.564479248,478921.74416868505,1.4,067,,West,772 to 773,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8639_1.jpg''}}",NA,NA,,round,,none,No,,,3 - damaged,Urban development,,4 - minimal,Urban development,,Last month,,,,,POINT(478921.744169 4683930.564479)
1000021663747791167,8771,Adela Sobotkova,Extinct Burial Mound,,0,0,Adela Sobotkova,2022-09-21 08:09:56.359 GMT,Adela Sobotkova,2022-09-21 08:15:57 GMT,8771,21 Sep,Legacy verification,"dense scrub and forest, poorly accessible, off a creek, no mound resembling feature in sight, GC attempted but failed. recommendation, access the site from the west.",Forest,,Scrub,,Lower slope,Nil,42.302036666666666,26.846333333333337,4683323.327137973,487334.04978767183,1.2,39,228,Southwest,305,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8771_1.jpg''}}",0,0,none,none,,none,No,,,0 - No observation,No observation,none,No observation,Not available,,Unknown,,none,none,,POINT(487334.049788 4683323.327138)
1000101663748983101,8640,Matilde Jensen,Burial Mound,,1.1,19,Matilde Jensen,2022-09-21 08:29:48.282 GMT,Matilde Jensen,2022-09-21 08:29:48 GMT,8640,21 Sep,Legacy verification,"Twin mound situated on the south edge of the road leading from Kamenets to Polyana. Mound is located in a heavily ploughed field, but still very prominent. Easily spotted from the road.",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,High,42.32376833333333,26.76386,4685751.8668280365,480542.8902690342,1.2,068,,West,774,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8640_1.jpg''}}",NA,NA,,round,,none,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,," 
no observation ",,,POINT(480542.890269 4685751.866828)
