"","uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","MoundID","Date","BurialMoundAuthor","TypeClean","Type Note","Source","DescriptionOfMoundOrLocale","LanduseAroundMound","LanduseAroundMoundNote","LanduseOnTopOfMound","LanduseOnTopOfMoundNote","PositionInTheLandscape","MoundProminence","Latitude","Longitude","Northing","Easting","Accuracy","HandheldGPSPoint","Elevation","FacingDirectionForPhoto","NotesAndPhotoID","Photo","HeightMax","DiameterMax","HeightMin","DiameterMin","OtherDimension","ShapeNotes","AssociatedFeatureOrMaterial","SurfaceMaterialDescription","SampleCollected","ChronologyEstimate","AssociatedFeatureOrMaterialPhoto","Condition","PrincipalSourceOfImpact","OtherSourcesOfImpact","ArchaeologicalPotential","MostRecentDamageWhat","MostRecentDamageWhat 2","MostRecentDamageWithin","MostRecentDamageWithin 2","RTDescription","CommentsAndRecommendations","CRMPhotos","geospatialcolumn"
"1",1000031662963912192,8570,"Verka Dolezalkova","2022-09-12 06:25:29.389 GMT","Verka Dolezalkova",2022-09-12 06:26:27,8570,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification","low and eroded","Annual agriculture",NA,"Scrub",NA,"Hilltop","Low",42.1181466666667,26.704065,4662936.4198325,475536.744317949,1,"001",NA,"East","photo ID 114-0701 to114-0703","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8570_1.jpg''}}",0.5,"42",NA,NA,NA,NA,"Artefact scatter","worn small pottery fragments","No","LA to Ottoman and modern","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8570_2.jpg''}}","4 - seriously damaged","Anthropogenic","ploughed","3 - impaired","Agriculture",NA,"Last month",NA,NA,NA,NA,"POINT(475536.744318 4662936.419832)"
"2",1000081662964166528,8733,"Matilde Jensen","2022-09-12 06:30:04.142 GMT","Matilde Jensen",2022-09-12 06:30:59,8733,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","Low mound lozenge shape which was ploughed around","Annual agriculture",NA,"Pasture","grassland","Hilltop","Medium",42.11766,26.7041633333333,4662882.35644905,475544.685863899,1.2,"001",NA,"East","939-940","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8733_1.jpg''}}",0.7,"35",0.2,"20",NA,"lozenge shaped","Loose artefacts","Highly fragmented corse kitchen and fine ware and couple of large stones","No",NA,NA,"4 - seriously damaged","Agriculture",NA,"4 - minimal","Agriculture",NA,"Last month",NA,"none","A mound behind the water pump with a few stones on top. Map id: 205251",NA,"POINT(475544.685864 4662882.356449)"
"3",1000031662966625280,8571,"Verka Dolezalkova","2022-09-12 07:10:30.523 GMT","Verka Dolezalkova",2022-09-12 07:20:50,8571,"12 Sep","Verka Dolezalkova","Extinct Burial Mound",NA,"Survey","very destroyed, uncertain mound","Annual agriculture",NA,"Annual agriculture",NA,"Lower slope","Low",42.1179,26.7047416666667,4662908.83856971,475592.585881479,1.2,"002",NA,"Northwest","photos 114-0707 to 114-0708","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8571_1.jpg''}}",0.2,"32",NA,NA,NA,"very destroyed, very hard to find the exact border","Artefact scatter","very worn ceramics, small fragments, prehistoric to Ottoman","No","prehistoric, ancient , Ottoman","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8571_3.jpg''}}","5 - extinct or near extinct","Agriculture",NA,"4 - minimal","Agriculture",NA,"Last month",NA,"down the slope, northeast from the mound there is a loose stone scatter, the stones are possibly plouged out from the mound",NA,NA,"POINT(475592.585881 4662908.83857)"
"4",1000081662966870016,8734,"Matilde Jensen","2022-09-12 07:15:22.091 GMT","Matilde Jensen",2022-09-12 07:19:17,8734,"12 Sep","Matilde Jensen","Burial Mound",NA,"Survey","ploughed over terrain way with a distinct lighter soil. Next to the legacy mound 8734.","Annual agriculture",NA,"Annual agriculture",NA,"Hilltop","Low",42.1175766666667,26.704605,4662872.97750638,475581.16424392,1.1,"002",NA,"Southeast","944","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8734_1.jpg''}}",1.1,"25",0.7,"17",NA,NA,"Loose artefacts","course kitchen and fine ware. light soil on top of mound. A fragment of a rim. red fabric with black and white inclusions + one gw","No",NA,NA,"3 - damaged","Agriculture",NA,"3 - impaired","Agriculture",NA,"Last month",NA,NA,NA,NA,"POINT(475581.164244 4662872.977506)"
"5",1000031662970046464,8572,"Verka Dolezalkova","2022-09-12 08:07:31.523 GMT","Verka Dolezalkova",2022-09-12 08:09:15,8572,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Legacy verification",NA,"Pasture","grassland","Pasture","grassland","Upper slope","Medium",42.1255683333333,26.7063683333333,4663759.80064934,475729.980369308,1.5,"003",NA,"West","114-0713 to 114-0714","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8572_1.jpg''}}",2.2,"41",NA,NA,NA,"round","Other","loose stones","No",NA,NA,"2 - minor damage","Post-depositional",NA,"3 - impaired","Animal activity",NA,"Last year",NA,NA,NA,NA,"POINT(475729.980369 4663759.800649)"
"6",1000081662969979136,8735,"Matilde Jensen","2022-09-12 08:07:31.841 GMT","Matilde Jensen",2022-09-12 08:07:31,8735,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","5-6 meter tall mound in forest south of Slaveykovo. overgrown by scrub. big and hard to access (no road). numerous RTs","Forest",NA,"Forest",NA,"Valley Bottom or Plain","High (Obscured by forest )",42.1162,26.6986033333333,4662721.85731605,475084.496594517,1.3,"003","241","Southeast","952","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8735_1.jpg''}}",6,"40",NA,NA,NA,NA,NA,NA,"No",NA,NA,"3 - damaged","Looting","Forest and animals","2 - good","Looting",NA,"Last month",NA,"01, pear-shaped, 3m, 2m, 1.3m, manually excavated; 02, round, 6m, 5m,1m, manually excavated; 03, C
Cresent, 10m, 5m, 2m, manually excavated","number 03 overgrown with trees",NA,"POINT(475084.496595 4662721.857316)"
"7",1000031662971036032,8573,"Verka Dolezalkova","2022-09-12 08:24:08.692 GMT","Verka Dolezalkova",2022-09-12 08:25:28,8573,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Survey",NA,"Scrub",NA,"Pasture","grassland","Upper slope","High",42.1258566666667,26.7060233333333,4663791.91279829,475701.574672774,1.5,"004",NA,"Northwest","114-0715 to 114-0717","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8573_1.jpg''}}",4,"33",NA,NA,NA,"round","Loose artefacts","Roman  ceramic
","No","Roman","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8573_2.jpg''}}","4 - seriously damaged","Looting","animal burrows","4 - minimal","Looting",NA,"Unknown",NA,"Two Rt
one goes west-north
rectangular and 6x2 m

 and one goes east-north
8x5 m
","scatter of stones, pulled out from the mound","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8573_3.jpg''}}","POINT(475701.574673 4663791.912798)"
"8",1000081662972355072,8736,"Matilde Jensen","2022-09-12 08:46:02.885 GMT","Matilde Jensen",2022-09-12 08:47:43,8736,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","shallow low mound in a clearance in the forest next to mound 8735. no recent damage, low visibility","Forest",NA,"Forest",NA,"Valley Bottom or Plain","High",42.1163716666667,26.698155,4662741.04853067,475047.501611061,1.5,"004",NA,"North","955","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8736_1.jpg''}}",0.5,"20",NA,"13",NA,NA,NA,NA,"No",NA,NA,"5 - extinct or near extinct","Looting?",NA,"4 - minimal","Looting",NA,"Unknown",NA,NA,NA,NA,"POINT(475047.501611 4662741.048531)"
"9",1000031662972805376,8574,"Verka Dolezalkova","2022-09-12 08:53:30.643 GMT","Verka Dolezalkova",2022-09-12 08:54:07,8574,"12 Sep","Verka Dolezalkova","Burial Mound",NA,"Survey","round, looted mound","Scrub",NA,"Pasture","grassland","Upper slope","High",42.125995,26.7063966666667,4663807.16601604,475732.48508657,1.2,"005",NA,"Northwest","114-0723","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8574_1.jpg''}}",4.5,"36",NA,NA,NA,"round",NA,NA,"No",NA,NA,"4 - seriously damaged","Looting","animals","4 - minimal","Looting",NA,"Unknown",NA,"1 Large RT in northwest direction. on top there is a geodetic point","RT is 10 X 8 meters, 1,4 of the mound is damaged/gone","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8574_1.jpg''}}","POINT(475732.485087 4663807.166016)"
"10",1000081662973553920,8737,"Matilde Jensen","2022-09-12 09:06:06.380 GMT","Matilde Jensen",2022-09-12 09:13:15,8737,"12 Sep","Matilde Jensen","Burial Mound",NA,"Legacy verification","Scrub on top of the mound with a little clearance","Forest",NA,"Scrub",NA,"Valley Bottom or Plain","High",42.1171266666667,26.6972583333333,4662825.13942383,474973.67421573,1.4,"005","247","Northeast","0958","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8737_1.jpg''}}",6,"50",NA,NA,NA,NA,NA,"none","No",NA,NA,"2 - minor damage","Looting",NA,"1 - full","Looting",NA,"Unknown",NA,"01,rect,6m,4m,1m,","An armored personal carrier with 3 fireteam implacememts",NA,"POINT(474973.674216 4662825.139424)"
