TRAP №,AKB №,Area,Season,Excavated
8051,10001459,Stroyno,2016 Bara,
8056,10001460,Stroyno,2016 Bara,
8057,10001461,Stroyno,2016 Bara,
8058,10001502,Stroyno,2016 Bara,
8059,10001503,Stroyno,2016 Bara,
8060,10001462,Stroyno,2016 Bara,
8106,10009399,Galabintsi,2017 Adela,
8107,Burial Mound,Zlatari,2017 Adela,
8109,Extinct Burial Mound,Zlatari,2017 Adela,
8110,Burial Mound,Zlatari,2017 Adela,
8117,Extinct Burial Mound,Zlatari,heap of stones in middle of field,
8129,10009520,Pobeda,2017 Adela,
8130,10009521,Pobeda,2017 Adela,
8131,10009523,Pobeda,2017 Adela,
8132,10009525,Pobeda,kurgan Dzhibunyaka,
8133,10009526,Pobeda,2017 Adela,
8134,10009528,Pobeda,2017 Adela,
8135,10009529,Pobeda,2017 Adela,
8136,10009530,Pobeda,2017 Adela,
8137,10009531,Pobeda,2017 Adela,
8138,10009514,Kalchevo,2017 Adela,
8139,10009515,Kalchevo,levelled in 70th of the 20th century based on local informant,
8140,10009516,Kalchevo,2017 Adela,
8142,10009517,Kalchevo,2017 Adela,
8143,10009512,Kozarevo,2017 Adela,
8145,10007973,Straldzha,2017 Adela,
8146,2700265,Straldzha,2017 Adela,
8147,2700130,Straldzha,2017 Adela,
8148,Extinct Burial Mound,Straldzha,2017 Adela,
8149,10009219,Vodenichane,Mound called Lozenska Mogila,
8150,10009220,Vodenichane,"Kirchova Mogila, next to highway",
8151,Burial Mound,Straldzha,2017 Adela,
8152,Burial Mound,Straldzha,2017 Adela,
8153,Burial Mound,Straldzha,2017 Adela,
8154,10009242,Straldzha,"Karaybryamska Mogila, massive elevation marker on top",
8155,2700264,Straldzha,2017 Adela,
8156,2700266,Straldzha,2017 Adela,
8157,10009227,Saransko,2017 Adela,
8158,10009596,Tamarino,2017 Adela,
8159,10009597,Tamarino,2017 Adela,
8160,10009226,Saransko,2017 Adela,
8161,10009225,Saransko,2017 Adela,
8162,10009224,Saransko,2017 Adela,
8163,10009223,Saransko,2017 Adela,
8165,10009222,Saransko,very shallow RTs that do not damage the mound on top.,
8167,2700113,Saransko,2017 Adela,
8168,10009221,Saransko,2017 Adela,
8169,2700114,Saransko,2017 Adela,
8170,10009598,Slamino,2017 Adela,
8172,Extinct Burial Mound,Mezhda,2017 Adela,
8173,10009568,Savino,2018 Adela,
8174,Burial Mound,Skalitsa,buvsho Kunevo,
8175,Burial Mound,Skalitsa,buvsho Kunevo,
8176,Burial Mound,Skalitsa,buvsho Kunevo,
8177,Burial Mound,Skalitsa,buvsho Kunevo,
8178,Burial Mound,Skalitsa,buvsho Kunevo,
8188,10009532,Chelnick,2017 Adela,
8189,10009534,Chelnick,2017 Adela,
8190,10009535,Chelnick,2017 Adela,
8191,10009536,Chelnick,2017 Adela,
8193,10009539,Chelnick,2017 Adela,
8194,10009541,Chelnick,2017 Adela,
8195,10009543,Chelnick,2017 Adela,
8196,10009544,Chelnick,2017 Adela,
8197,10009545,Chelnick,2017 Adela,
8198,10009547,Chelnick,2017 Adela,
8199,10009548,Chelnick,2017 Adela,
8201,Burial Mound,Karavelovo,2017 Adela,
8202,Burial Mound,Karavelovo,2017 Adela,
8203,Burial Mound,Karavelovo,2017 Adela,
8204,10009582,Tenevo,2017 Adela,
8205,10009583,Tenevo,2017 Adela,
8206,10009573,Simeonovo,"elevation marker on the top, Dyadodinkovata mogila",
8207,10009584,Tenevo,Trapezanskata mogila,
8208,10009585,Tenevo,2017 Adela,
8209,10009586,Tenevo,2017 Adela,
8210,10009587,Tenevo,2017 Adela,
8211,Burial Mound,Boyadzhik,2017 Adela,
8212,Extinct Burial Mound,Meden Kladenets,"inside of an army object, guard claims there is nothing",
8213,10009562,Meden Kladenets,Lozenski bair,
8214,10007343,Botevo,2017 Adela,
8215,10007344,Botevo,v zemlishteto na s. Meden kladenets,
8217,10007345,Botevo,v zemlishteto na s. Meden kladenets,
8219,Burial Mound,Boyadzhik,2017 Adela,
8220,Burial Mound,Boyadzhik,2017 Adela,
8221,10009403,Bolyarsko,2017 Adela,
8222,10009563,Roza,2017 Adela,
8223,10009564,Roza,2017 Adela,
8224,10009565,Roza,2017 Adela,
8225,10009566,Roza,2017 Adela,
8226,10009567,Bezmer,2017 Adela,
8232,10009340,Mamarchevo,2018 Bolyarovo,
8233,10006442,Bolyarovo,2018 Bolyarovo,
8234,10006443,Bolyarovo,2018 Bolyarovo,
8235,10006444,Bolyarovo,2018 Bolyarovo,
8238,10006445,Bolyarovo,2018 Bolyarovo,
8241,10006422,Voden,2018 Bolyarovo,
8242,10006423,Voden,2018 Bolyarovo,
8248,10006424,Voden,2018 Bolyarovo,
8249,10006425,Voden,2018 Bolyarovo,
8251,10006426,Voden,2018 Bolyarovo,
8253,10006427,Voden,2018 Bolyarovo,
8254,10006428,Voden,2018 Bolyarovo,
8258,10006468,Popovo,2018 Bolyarovo,
8259,10006469,Popovo,2018 Bolyarovo,
8261,10006559,Popovo,2018 Bolyarovo,
8263,10006470,Popovo,2018 Bolyarovo,
8264,10006465,Dabovo,2018 Bolyarovo,
8265,10006466,Dabovo,2018 Bolyarovo,
8266,Other (could be excavated mound or a tank emplacement),Dabovo,2018 Bolyarovo,military
8267,10006467,Dabovo,2018 Bolyarovo,
8268,Burial Mound?,Malko Sharkovo,2018 Bolyarovo,
8271,10009303,Malko Sharkovo,2018 Bolyarovo,
8273,10000779,Malko Sharkovo,2018 Bolyarovo,
8274,10009373,Malko Sharkovo,2018 Bolyarovo,
8275,10009341,Mamarchevo,2018 Bolyarovo,
8276,10009342,Mamarchevo,2018 Bolyarovo,
8277,10009305,Malko Sharkovo,2018 Bolyarovo,
8279,10009361,Mamarchevo,2018 Bolyarovo,
8281,10009387,Sitovo,2018 Bolyarovo,
8282,10009364,Sharkovo,2018 Bolyarovo,
8283,10009365,Sharkovo,2018 Bolyarovo,
8284,10009366,Sharkovo,2018 Bolyarovo,
8285,10009367,Sharkovo,2018 Bolyarovo,
8287,10009343,Mamarchevo,2018 Bolyarovo,
8288,10009428,Dennitsa,2018 Bolyarovo,
8290,10009429,Dennitsa,2018 Bolyarovo,
8292,10009430,Dennitsa,2018 Bolyarovo,
8295,Burial Mound,Borisovo,2018 Bolyarovo,
8297,Extinct Burial Mound,Borisovo,2018 Bolyarovo,
8298,Extinct Burial Mound,Borisovo,2018 Bolyarovo,
8299,10009463,Kamen vrah,2018 Bolyarovo,
8304,10009400,Galabintsi,"mound in ploughed field,dry limestone extrusion on SE side, ploughed up and lighter colour than the surrounding",
8305,10009401,Galabintsi,2017 Adela,
8306,10009402,Galabintsi,2017 Adela,
8307,Extinct Burial Mound,Zlatari,bulldozed destroyed mound? soilmark of light brown soil and limestonea scatter,
8308,Uncertain Mound,Zlatari,2017 Adela,
8309,Burial Mound,Zlatari,small lozenge in a field with trees and pile of stones,
8310,Uncertain Mound,Zlatari,bluff with manmade embankment and stone walls and features,
8311,Uncertain Mound,Zlatari,2017 Adela,
8312,Uncertain Mound,Zlatari,2017 Adela,
8313,Uncertain Mound,Zlatari,2017 Adela,
8314,Uncertain Mound,Zlatari,2017 Adela,
8315,Uncertain Mound,Zlatari,2017 Adela,
8316,Burial Mound,Zlatari,2017 Adela,
8317,Burial Mound,Zlatari,Drenashkata mogila,
8318,Uncertain Mound,Zlatari,2017 Adela,
8319,Burial Mound,Zlatari,2017 Adela,
8320,Uncertain Mound,Zlatari,2017 Adela,
8321,Burial Mound,Zlatari,2017 Adela,
8322,Uncertain Mound,Zlatari,2017 Adela,
8323,10009415,Zlatari,2017 Adela,
8324,10009406,Zlatari,ploughed up mound with geodetic marker,
8325,Burial Mound,Mezhda,2017 Adela,
8327,Extinct Burial Mound,Mezhda,2017 Adela,
8328,Burial Mound,Mezhda,2017 Adela,
8329,Burial Mound,Mezhda,2017 Adela,
