"";"TopoID";"Note";"TRAP";"X";"Y";"Source";"Type";"LU_Around";"LU_Top";"Date";"DiameterMax";"DiameterMin";"HeightMax";"Condition";"PrincipalSourceOfImpact";"geometry";"distBG";"distTown";"elevAster";"slopeAster";"aspectAster";"prom250mbuff"
"1";200013;"Diadopetkova mogila";9305;441126,6561;4710087,374;NA;"Burial Mound";"Scrub";"Scrub";NA;"25";25;"1.8";"3";NA;c(441126.6561, 4710087.374);68354.3888195423;635.357160730467;304;4,16630411148071;161,565048217773;56,23
"2";200016;NA;9411;453727,1017;4706736,7735;"Survey";"Burial Mound";"Scrub";"Scrub";NA;"15";15;"1.5";"2";"Nodata";c(453727.1017, 4706736.7735);61029.4984344798;1806.6578942182;243;3,33515810966492;120,963752746582;97,4
"3";200018;NA;9416;452999,1197;4707739,1148;"Legacy verification";"Burial Mound";"Annual agriculture";"Annual agriculture";NA;"20";20;"2";"3";"Agriculture";c(452999.1197, 4707739.1148);62182.7774985861;1303.85116865854;188;2,98373007774353;45;25,37
"4";200019;NA;9417;452996,9503;4707823,482;"Legacy verification";"Burial Mound";"Pasture";"Pasture";NA;"15";15;"2";"4";"Looting";c(452996.9503, 4707823.482);62264.9082053407;1276.73450712851;186;2,98373007774353;45;43,49
"5";200020;NA;9409;454596,0148;4707387,6436;"Legacy verification";"Burial Mound";"Annual agriculture";"Pasture";NA;"30";30;"2";"2";"Agriculture";c(454596.0148, 4707387.6436);61452.6569966341;1486.64146299416;215;0;-1;53,73
"6";200022;NA;9314;453591,2748;4706446,6945;"Legacy verification";"Burial Mound";"Pasture";"Pasture";NA;"30";30;"2";"5";"Looting";c(453591.2748, 4706446.6945);60782.5230359833;1502.02543597956;227;4,50136280059814;116,565048217773;65,17
"7";200023;NA;9315;453884,8248;4706455,1565;"Legacy verification";"Burial Mound";"Pasture";"Pasture";NA;"20";20;"1";"2";"Looting";c(453884.8248, 4706455.1565);60717.6140612722;1564.92375563472;211;3,67158174514771;171,869903564453;24,91
"8";200024;NA;9415;453042,7758;4705682,3939;"Legacy verification";"Burial Mound";"Annual agriculture";"Annual agriculture";NA;"25";25;"1";"5";"Agriculture";c(453042.7758, 4705682.3939);60184.9426400062;745.285821526983;212;1,18032312393188;135;45,35
"9";200025;NA;9418;455169,225;4708542,0055;"Legacy verification";"Burial Mound";"Pasture";"Pasture";NA;"50";50;"6";"2";"Looting";c(455169.225, 4708542.0055);62447.803683062;309.609048721736;179;3,33515810966492;18,4349479675293;21,85
"10";200026;NA;9319;454360,7674;4708632,5212;"Legacy verification";"Burial Mound";"Annual agriculture";"Pasture";NA;"15";15;"1";"3";"Agriculture";c(454360.7674, 4708632.5212);62718.1614317085;255.701252555989;183;2,11076974868774;305,537689208984;64,64
"11";200027;NA;9109;448172,7994;4708324,079;NA;"Burial Mound";"Annual agriculture";"Annual agriculture";NA;"40";40;"1.5";"3";NA;c(448172.7994, 4708324.079);64139.2307797496;582.165958662614;163;2,84066700935364;291,801422119141;38,2
"12";200028;NA;9307;446761,3087;4709426,8264;NA;"Burial Mound";"Annual agriculture";"Scrub";NA;"30";30;"3.1";"1";NA;c(446761.3087, 4709426.8264);65645.7317495176;1536.29227497999;161;2,11076974868774;180;26,77
"13";200029;NA;9431;455348,259;4711124,5897;"Legacy verification";"Burial Mound";"Pasture";"Pasture";NA;"20";20;"2";"5";"Looting";c(455348.259, 4711124.5897);64932.4533534128;1006.10100551009;143;6,39586114883423;6,8427734375;58,11
"14";200030;NA;9320;450650,7357;4711260,4318;"Legacy verification";"Extinct Burial Mound";"Annual agriculture";"Pasture";NA;"30";15;"0.5";"4";"Construction";c(450650.7357, 4711260.4318);66200.998030655;1270.58027390656;132;0;-1;0
