TRAPCode,Source,Type,TopoID,LU_Around,LU_Top,LUCheckedinGE,Date,Year,Mo,Day,Lat,Long,Length,Width,HeightGC,RT_number,Condition,PrincipalFactor,Notes,Provenance
8021,RS:FNEG,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,20,30,0.3,none;,5,Agriculture,Possible - completely ploughed away - only crop mark & small stones,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8022,RS:SITE,Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,20,20,0.7,none;,5,Agriculture,Probable - ploughed over,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8023,RS:SITE,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,25,25,0.1,none;,4,Agriculture,Probable - ploughed over,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8024,RS:SITE,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,20,20,0.5,none;,5,Agriculture,Probable - ploughed over,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8025,RS:SITE,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,20,20,0.5,none;,5,Agriculture,very very heavily plowed,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8026,RS:FNEG,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,20,20,0.3,none;,5,Agriculture,very very heavily plowed,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8027,RS:FNEG,Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,30,35,1,none;,4,Agriculture,plowed 40cm deep,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8028,RS:FNEG,Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,40,40,1,none;,4,Agriculture,close to cluster of 8021-27; ploughed over,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8029,RS:FNEG,Burial Mound,0,Annual,Annual,Y-20200505,2009-11-22,2009,11,22,,,45,45,1.5,none;,3,Agriculture,,from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8030,RS:FNEG - duplicate 9358,Burial Mound,200899,Annual,Pasture,Y-20200505,2009-11-23,2009,11,23,,,40,40,2.5,2;huge crates on top of mound,3,Post-depositional,"lots of modern debris on top, cherry trees planted",from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
8031,RS:FNEG,Extinct Burial Mound,0,Annual,Annual,Y-20200505,2009-11-23,2009,11,23,,,30,20,0.5,1;,3,Agriculture,"half untended grapevine, half seedling; Possible - Vry damaged mnd split by field division",from SRS_FeatureAnalysis 2009 spreadsheet by SAR; groundtruth results
