TRAPCode,TopoID,GC,Source,NameTopo,Type,LandUseAround,LanduseOn,LandUseSource,Length,Width,Height,ElevationTopo,Condition,Principal,When,OtherSource,ArcheoPotential,RTNumber,RTPosition,RTDescription,Description,Leader,Datum,SurfaceMaterial,SampleCollected,uuid,2017identifier,createdBy,Latitude,Longitude,Northing,Easting,MapSymbol,Source_1,Note_1,GC_1,Mound_ID,DateCompl0,y_proj,x_proj
0,200132,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.34733963,26.3323822
0,200133,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.34611511,26.32967758
0,200141,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.35076904,26.33621025
0,200184,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.45237732,26.48466301
0,200382,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.21621323,26.46053314
0,200386,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.19756317,26.47874069
0,200387,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.19769287,26.4686718
0,200524,FAIL,Legacy verification,,GC Failed,Scrub,Scrub,Survey,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol,SH,Wed Nov 17 00:00:00 CET 2010,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.21071625,26.51812363
0,200915,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.22509766,26.44326591
0,200918,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,settlement mound - atypically large symbol, ,,,,1.00E+18,202200,Stephanie Black,42.47452019,26.02777634,4702921.717,420083.3711,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,0,Sun Sep 17 00:00:00 CEST 2017,42.20370483,26.46564865
8017,200653,OK,Legacy verification,,Burial Mound,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,, , ,,,,1.00E+18,204670,Isaac Roberts,42.31722677,26.70690277,4685040.117,475847.3089,Hairy brown circle,TopomapRU 1:50k,3,No,8017,Thu Sep 21 00:00:00 CEST 2017,42.31717682,26.70717812
8019,2700158,OK,Legacy verification,Raikova mogila,Tell,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,,Raikova mogila,AS,Thu Mar 24 00:00:00 CET 2011,,,1.00E+18,204559,Isaac Roberts,42.27399368,26.58233419,4680282.602,465558.6645,Hairy brown circle,TopomapRU 1:50k,3,Y,8019,Thu Sep 21 00:00:00 CEST 2017,42.27403259,26.58112526
8036,200691,OK,Legacy verification,,nothing found upon visit - mound not identified,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,, , ,,,,1.00E+18,204691,Isaac Roberts,42.28500245,26.71918745,4681458.682,476847.8262,Hairy brown circle,TopomapRU 1:50k, ,No,8036,Thu Sep 21 00:00:00 CEST 2017,42.28504562,26.71911049
8039,200693,OK,Legacy verification,,nothing found upon visit - mound not identified,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,, , ,,,,1.00E+18,204693,Isaac Roberts,42.2909651,26.71280793,4682122.496,476324.0861,Hairy brown circle,TopomapRU 1:50k,1,No,8039,Thu Sep 21 00:00:00 CEST 2017,42.2910881,26.71270752
8043,200695,OK,Legacy verification,Kirilovite mogili,Burial Mound,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,,Kirilovite mogili, ,,,,1.00E+18,204704,Isaac Roberts,42.2901935,26.72298216,4682034.043,477162.5644,Hairy brown circle,TopomapRU 1:50k,8,No,8043,Thu Sep 21 00:00:00 CEST 2017,42.29030609,26.72312927
8051,200614,OK,Legacy verification,,Burial Mound,Annual agriculture,Annual agriculture,Survey,35,25,2,,3 - damaged,Looting,unknown,agriculture,2 - good,1,N  ,RT is 3 x 2 x 1, ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,1.00E+18,204641,Isaac Roberts,42.27444909,26.66428418,4680303.282,472316.5887,Hairy brown circle,TopomapRU 1:50k, ,No,8051,Thu Sep 21 00:00:00 CEST 2017,42.27435684,26.66405869
8056,201530,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Survey,40,40,4.5,,3 - damaged,Looting,unknown,unknown,3 - impaired,4,"E, N, W, S at the foot of the mound",, ,BW,Sat Mar 30 00:00:00 CET 2013,No,No,,, ,,,,,Hairy brown circle,TopomapRU 1:50k, ,Y,8056,Fri Aug 24 00:00:00 CEST 2018,42.27641296,26.68923569
8057,200663,OK,Legacy verification,,Burial Mound,Forest,Scrub,Survey,35,35,1.8,,3 - damaged,Looting,unknown,bioturbation,2 - good,1,top,, ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,1.00E+18,204650,Isaac Roberts,42.27111515,26.68085404,4679927.847,473681.5681,Hairy brown circle,TopomapRU 1:50k,3,No,8057,Thu Sep 21 00:00:00 CEST 2017,42.27129364,26.68044472
8058,200661,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Survey,25,25,1.5,,2 - minor damage,Looting,unknown,,1 - full,1,W,"RT is 4 x 1,5 x 0,8", ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,,, ,,,,, , , , ,0,,42.27442169,26.67422676
8059,200662,OK,Survey,,Burial Mound,Pasture,Pasture,Survey,30,30,1.5,,2 - minor damage,Looting,last decade,unknown,1 - full,1,top,, ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,,, ,,,,, , , , ,0,,42.27357101,26.67372894
8060,200664,OK,Legacy verification,,Burial Mound,Pasture,Pasture/Scrub,Survey,40,40,1.5,,4 - seriously damaged,Looting,unknown,unknown,4 - minimal,1,top to W,RT is 5 x 4 x 1.5, ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,1.00E+18,204640,Isaac Roberts,42.26883198,26.67157066,4679677.246,472915.0343,Hairy brown circle,TopomapRU 1:50k, ,No,8060,Thu Sep 21 00:00:00 CEST 2017,42.2687912,26.67213631
8063,200612,FAIL,Legacy verification,,GC Failed,NA,NA,,NA,,NA,,NA,NA,,,NA,,,,"in military area, guarded by dogs, fenced",BW,Wed Nov 17 00:00:00 CET 2010,,,1.00E+18,204628,Isaac Roberts,42.2613334,26.64545259,4678853.282,470757.6569,Hairy brown circle,TopomapRU 1:50k,3,No,8063,Thu Sep 21 00:00:00 CEST 2017,42.26154709,26.64589691
8095,200075,OK,Legacy verification,,Extinct Burial Mound,Nodata,Nodata,,NA,,NA,,5 - extinct or near extinct,Construction,recent,unknown,1 - full,0,,,rescue excavations before building,BW,Wed Nov 10 00:00:00 CET 2010,No,No,1.00E+18,203267,Samuel Riley,42.55737876,26.49123552,4711789.78,458234.9852,Hairy brown circle,TopomapRU 1:50k,1,No,8064,Thu Sep 21 00:00:00 CEST 2017,42.55746841,26.49102211
9461,200072,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Sattelite,unmeasurable,unmeasurable,0,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,no remains visible on the surface,,,No,No,,,,,,,,Hairy brown circle,TopomapRU 1:50k,1,,9461,Thu Aug 23 00:00:00 CEST 2018,42.563466,26.478439
8099,200076,OK,Legacy verification,,Extinct Burial Mound,Pasture,Pasture,,0,0,0,,5 - extinct or near extinct,Construction,last 50 years,unknown,5 - none or nearly none,0,,,the mound was used for a waterhouse,PT,Wed Nov 10 00:00:00 CET 2010,No,No,1.00E+18,203269,Samuel Riley,42.55424583,26.49418812,4711440.448,458475.2905,Hairy brown circle,TopomapRU 1:50k,1,No,8065,Thu Sep 21 00:00:00 CEST 2017,42.55442429,26.49420166
8066,200077,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Sattelite,0,0,0,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,ploughed over,PT,Wed Nov 10 00:00:00 CET 2010,No,No,1.00E+18,203268,Samuel Riley,42.55577575,26.49773318,4711608.599,458767.3302,Hairy black diamond with a dot inside,TopomapRU 1:50k,2,No,8066,Thu Sep 21 00:00:00 CEST 2017,42.55577469,26.49764633
