uuid,identifier,createdBy,Date,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositioninTheLandscape,ProminenceNote,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00E+18,9500,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,"nearly extinct plowed up mound
",Annual agriculture,,Annual agriculture,,Hilltop,local maximum,42.37472892,26.13517719,4691745.489,428798.9281,3,7,201.6,Northeast,,files/app/d0b6fccf-8e9d-4623-94b5-2549cb881278_image-1504869591456.original.jpg,1.6,70,NA,55,,,Loose artefacts,"knidos amphora toe. in modern trash. we are ne of the mound,where is the greyish pottery scatter in 


photo no. 0958096009620963 
east Aegean amph, herakleia",No,"hell.,based on knidos amphora toe",files/app/5bbae421-7bc2-4264-9311-11408f68eb53_image-1504868658938.original.jpg,4 - seriously damaged,Agriculture,modern trash spread mostly in he direction from the mound,4 - minimal,Agriculture,,Last month,,,,,POINT(428798.928102 4691745.489463)
1.00E+18,9501,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Lower slope,,42.37343225,26.13350168,4691602.917,428659.5142,3,8,,Northeast,,files/app/b147fc2c-d2e3-41dc-b48d-4d9b65c53725_image-1504869962209.original.jpg,0.8,35,NA,25,,,,none,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,none,,,POINT(428659.514195 4691602.916519)
1.00E+18,9502,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.36523758,26.16158218,4690669.819,430962.4784,3,9,,Southeast,"typical dispersion of white limestone (chorosan)

photos: 973974
",files/app/c66d25b5-8ed5-400b-a95a-c64defc7d59e_image-1504873487077.original.jpg,1.3,45,NA,40,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(430962.478425 4690669.819039)
1.00E+18,9503,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37050762,26.15960901,4691256.594,430805.7855,3,10,,Northeast,"975,976",files/app/b8f34d12-7f8e-4b17-84bf-562ea1d24b2b_image-1504875274017.original.jpg,1,40,NA,30,,,,,No,,,3 - damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(430805.785525 4691256.593571)
1.00E+18,9504,Vera Dolezalkova,8-Sep,Uncertain Mound,Legacy verification,"identified based on soil marks, the soil color is light brown (contrast to surrounding dark brown), same as mound 9505; situated between 9505,9506",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37431681,26.16438921,4691675.675,431203.5274,3,11,,North,,files/app/de2591c8-530c-4e4a-bd8e-c3b6c116cf70_image-1504875884668.original.jpg,1.8,30,0.2,25,,uncertain diameter,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(431203.527396 4691675.675371)
1.00E+18,9505,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,soil mark of a light brown color,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37405241,26.1651599,4691645.693,431266.6908,3,12,,Northeast,,files/app/32c2cf92-9825-43fd-b175-5e4f3565ae63_image-1504876757397.original.jpg,2,40,1,30,,uncertain diameter,Other,one possibly Roman sherd found at the west foothill,No,Roman,,3 - damaged,Agriculture,,2 - good,Agriculture,,Last month,,,,,POINT(431266.690793 4691645.693187)
1.00E+18,9506,Vera Dolezalkova,8-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,,42.37497185,26.16452806,4691748.297,431215.6739,3,13,214.2,North,photo 989,files/app/63e95154-beba-43d7-a69b-7b44631b78ea_image-1504877471385.original.jpg,5,40,NA,35,,,,,No,,,2 - minor damage,Animal activity,old robbers trenches,1 - full,Animal activity,,Last week,,"[01, r = 2,5, h 0,5, west side]","photo 1= bioturbation; photo2=old rt
",files/app/adc13478-5795-4d97-8f79-457dabf9ca69_image-1504877989513.original.jpg - files/app/beb62fdb-e3d9-45eb-8334-6be7c0be5053_image-1504878053695.original.jpg,POINT(431215.673914 4691748.296506)
1.00E+18,9507,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,,42.4036724,26.13264363,4694961.43,428623.1401,3,14,,West,photo 995,files/app/a87b6e9a-9fc2-4395-b9d8-17c2da59f730_image-1505019605384.original.jpg,3,25,2.3,30,,,,,No,,,2 - minor damage,Looting,,1 - full,Looting,,Unknown,,"sw slope of the mound, in se-sw direction for 25 m, 5 m wide, depth 2m",,,POINT(428623.140094 4694961.429666)
1.00E+18,9508,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Lower slope,,42.40357143,26.1330311,4694949.892,428654.9117,3,15,,Southwest,,files/app/ae0fa1a6-3b18-4add-b5fb-08be13a7394e_image-1505020648392.original.jpg,1.6,17,NA,12,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,2 x 4 metres placed top south,,files/app/73c7e7b6-6aff-44e0-8224-e1b2730ff481_image-1505020535905.original.jpg - files/app/aead0a21-cb13-4247-80a4-303025b42b13_image-1505020565389.original.jpg,POINT(428654.911662 4694949.892234)
1.00E+18,9509,Vera Dolezalkova,10-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Upper slope,,42.40357623,26.13337097,4694950.14,428682.8858,3,15,,East,,files/app/65e3169e-00de-46c1-bdca-fb975580174a_image-1505021720284.original.jpg,0.3,17,NA,10,,,,,No,,,5 - extinct or near extinct,Looting,,4 - minimal,Looting,,Unknown,,East foot hill of the mound robbers trench. measurement: 2Ã—1 0.5d,,files/app/92a44ee3-b8b1-43cc-a94e-2274e0c0f3af_image-1505021628259.original.jpg,POINT(428682.885849 4694950.139774)
