File,uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,BurialMoundAuthor,Type_Adela,TypeNotes,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,PositionInTheLandscapeNotes,Prominence,ProminenceNote,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,ConditionNotes,PrincipalSourceOfImpact,PrincipalSourceOfImpactNote,OtherSourcesOfImpact,ArchaeologicalPotential,ArchaeologicalPotentialNotes,MostRecentDamageWhat,MostRecentDamageWhatNotes,MostRecentDamageWithin,MostRecentDamageWithinNotes,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
MoundsW1-20180918.csv,1000021536563560332,8501,Petra Janouchova,2018-09-10 07:12:53.205 GMT,Adela Sobotkova,2018-09-17 19:01:49 GMT,8501,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Annual agriculture,,Scrub,,Upper slope,,High,,42.14638567,26.6515482,4666088.215,471208.2672,3,262,162,Northwest,"1, 2",files/server/8cd0d090-a247-40ae-823a-bc82d282dc8f_image-1536562194778.original.jpg,5,35,4,35,,,Loose artefacts,"pottery, probably EIA",No,EIA,files/server/b2af18b4-40be-4e2f-b229-7f35b344471f_image-1536562471641.original.jpg,2 - minor damage,,Looting,,agriculture around,2 - good,,Not available,,Unknown,,"01,square,2,1.5,0.5,manually excavated shallow trench;02,overgrown;03,overgrown;04,overgrown",,files/server/0b6b419d-9ffd-4a6b-95e2-cad528f1eef8_image-1536563110679.original.jpg - files/server/8b961e0e-e0d4-48f7-89d5-f827f91b0d64_image-1536563242413.original.jpg,POINT(471208.26722 4666088.214715)
MoundsW1-20180918.csv,1000021536564579996,8502,Petra Janouchova,2018-09-10 07:29:47.177 GMT,Petra Janouchova,2018-09-10 07:29:47 GMT,8502,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Pasture,,Pasture,grassland,Hilltop,,Super prominent,,42.14586071,26.6586575,4666027.555,471795.4599,3,263,197.2 (geodetic point on the map),Northeast,"military lookout and tank embankment s, long ditch, ext no 5",files/app/70b25b9c-b881-42d9-b788-81c25ce60d6f_image-1536564981918.original.jpg (external no 5),4,45,3.5,40,,,Standing features in vicinity,,No,,,2 - minor damage,,Looting,,military activity,3 - impaired,,Looting,,Unknown,,"01,square,3,2,1,manually excavated trench (originally deeper)","ext photo from the mound, no 7, facing SW, no 8 facing NE, no 9 facing SW with Bara",files/app/91f52ff3-4c05-4774-989f-bd87d6c6b794_image-1536565814843.original.jpg - files/app/b0b01244-b35e-4029-846d-2079fe565b6a_image-1536565456853.original.jpg (ext photo 6),POINT(471795.459919 4666027.555172)
MoundsW1-20180918.csv,1000021536566544021,8503,Petra Janouchova,2018-09-10 08:02:33.162 GMT,Petra Janouchova,2018-09-10 08:02:33 GMT,8503,10 Sep,Petra Janouchova,Uncertain Feature,"hardly recognisable earthen structure on the hilltop, maybe a mound)?",Legacy verification,"hilltop elevated terrain, but the mound is not visible in the field",Pasture,,Pasture,grassland,Hilltop,,High,,42.14655727,26.661989,4666103.801,472071.0423,3,264,185,Southwest,ext 12 and 13 facing sw,files/app/2cf8039c-d504-4d06-8c7b-90a2382147c9_image-1536566903483.original.jpg - files/app/b6063ac1-97cb-4ec6-9144-af224da82b70_image-1536566863358.original.jpg (impossible to picture all at once),0,0,NA,NA,,unmeasurable,,,No,,,1 - pristine,,No observation,,,1 - full,,Not available,,Not relevant,,NA,,,POINT(472071.042284 4666103.800692)
MoundsW1-20180918.csv,1000021536568259051,8504,Petra Janouchova,2018-09-10 08:31:06.321 GMT,Petra Janouchova,2018-09-10 08:31:06 GMT,8504,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Annual agriculture,,Annual agriculture,,Hilltop,,Super prominent,,42.14398104,26.66451044,4665816.935,472278.2585,3,265,195,North,ext 14,files/app/fc9293d3-9be5-4578-9701-e3b7e65d699e_image-1536568503210.original.jpg,2,45,1.5,40,,,Other,"standing worked local white stone, maybe marble, inner part of the chamber, dimensions on the paper drawing",No,,files/app/8aa488f2-1e8a-4959-b76e-1722baf9aad2_image-1536569298504.original.jpg (ext 20) - files/app/c9aa9fd5-08a5-4d3e-83e0-51cc6608a43f_image-1536568873761.original.jpg (ext 15-19),4 - seriously damaged,,Agriculture,,looting - maybe,4 - minimal,,Agriculture,,Unknown,,NA,"no visible RT, but huge worked stone found on the surface near the mound in the field, probably ploughed over, chamber is apparently destroyed",,POINT(472278.258547 4665816.935)
MoundsW1-20180918.csv,1000021536570598861,8505,Petra Janouchova,2018-09-10 09:10:04.058 GMT,Petra Janouchova,2018-09-10 09:10:04 GMT,8505,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Scrub,,Scrub,,Valley Bottom or Plain,,Super prominent,,42.1465127,26.67365053,4666095.103,473034.5861,3,267,190,South,ext 27,files/app/57700aac-390f-4b34-b82f-053244a4ac48_image-1536570844437.original.jpg,6,60,6,55,,,,,No,,,2 - minor damage,,Looting,,,2 - good,,Looting,,Unknown,,"01,square,4,3,1.5,manually excavated trench;02,rectangle,8,1,0.2,manually excavated shallow trench","long trench going s-n direction, trench on the top",files/app/958f495e-c2f9-4236-83c1-3e7c2218c66b_image-1536571204878.original.jpg (ext 29) - files/app/b91d66f5-b4cf-4048-b8e8-1fe189e8201f_image-1536571331668.original.jpg,POINT(473034.586108 4666095.102688)
MoundsW1-20180918.csv,1000021536571853755,8506,Petra Janouchova,2018-09-10 09:31:01.525 GMT,Petra Janouchova,2018-09-10 09:31:01 GMT,8506,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,"Tumulus excavated by Daniela Agreement in 2005, LBA burials",Pasture,,Other,explain in notes,Valley Bottom or Plain,,Super prominent,,42.14610273,26.67511096,4666049.123,473155.0847,3,268,182,West,"plateau on the top, limestone filling from the mound building, ext 33",files/app/f8addb45-9483-4dfe-8ba6-6e017f2bff4c_image-1536572341072.original.jpg,4,60,3,55,,excavated in the middle,Loose artefacts - Bones - Other,"excavated by Daniela Agreement, two burials with pots, encroached individuals",No,LBA,,4 - seriously damaged,,Excavation,,,5 - none or nearly none,already excavated),Other,specify in Annotation (excavation),Other,2005,,"ext 34, excavated from the middle (bulldozed);no real RT, all material redeposited by machinery into 4 piles, see sketch",files/app/808a49f8-bcca-4d25-bf24-527fd8f9fe7f_image-1536572462774.original.jpg - files/app/925b6917-25a5-418b-95b7-2b916c063578_image-1536572258558.original.jpg - files/app/a29d8a79-277b-4821-b4fb-62f68f8e6585_image-1536572490581.original.jpg,POINT(473155.084704 4666049.123031)
MoundsW1-20180918.csv,1000021536573679439,8507,Petra Janouchova,2018-09-10 10:01:29.302 GMT,Petra Janouchova,2018-09-10 10:01:29 GMT,8507,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,"Golyamata Mogula, excavated by Agre in 2005",Annual agriculture,,Scrub,,Valley Bottom or Plain,,Super prominent,,42.14533436,26.68614267,4665960.4,474066.2994,3,269,199.6,East,ext 38,files/app/61f2ee04-0dbc-40e6-b945-af51aa4d9518_image-1536573759574.original.jpg,15,120,NA,60,excavated through,"excavated in the middle, recheck on the satellite",Artefact scatter - Loose artefacts - Other,"Thasos amphorae, 380-370 BC",No,,,4 - seriously damaged,,Excavation,,,5 - none or nearly none,,Other,specify in Annotation (excavation),Other,2005,,"excavated; no real RT, all material redeposited by machinery into piles with huge ''trench'' in the middle (at least 60% of the mound)",files/app/54558bad-7795-489f-8993-e813ab2e8544_image-1536574371734.original.jpg,POINT(474066.299383 4665960.399645)
MoundsW1-20180918.csv,1000021536574662071,8508,Petra Janouchova,2018-09-10 10:17:49.157 GMT,Petra Janouchova,2018-09-10 10:17:49 GMT,8508,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,,Medium,,42.14494793,26.68711579,4665917.199,474146.5496,3,270,177,West,ext 42,files/app/6de26662-61f5-457e-bd5c-d863c49d82e5_image-1536574875224.original.jpg - files/app/7be3d7b6-3d3e-4882-92d5-66887b68924b_image-1536574891101.original.jpg,1.5,35,1,30,,,,,No,,,4 - seriously damaged,,Looting,,,4 - minimal,,Looting,,Unknown,,"01,square,3,2,0.5,manually excavated shallow trench;02,square,3,3,1,manually excavated trench",,files/app/19d6496e-5580-487f-957b-862415754223_image-1536575206925.original.jpg - files/app/51be90b3-cf42-43ac-b938-bd84d13c2442_image-1536575064858.original.jpg,POINT(474146.54958 4665917.198778)
MoundsW1-20180918.csv,1000021536576039582,8509,Petra Janouchova,2018-09-10 10:40:44.749 GMT,Petra Janouchova,2018-09-10 10:40:44 GMT,8509,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Pasture,,Annual agriculture,,Valley Bottom or Plain,,High,,42.14529303,26.69447051,4665953.315,474754.4038,3,271,189,North,ext 45,files/app/9ba91163-429c-42e9-93a5-3bae491d0e62_image-1536576332699.original.jpg,5,80,2,75,,,,,No,,,2 - minor damage,,Looting,,,2 - good,,Looting,,Unknown,,"01,unknown,5,2,0.5,manually excavated trench",,files/app/e26eb07d-7898-4ae9-a878-e2d7321c1ae3_image-1536576201159.original.jpg,POINT(474754.403777 4665953.315111)
MoundsW1-20180918.csv,1000021536576900628,8510,Petra Janouchova,2018-09-10 10:55:07.711 GMT,Petra Janouchova,2018-09-10 10:55:07 GMT,8510,10 Sep,Petra Janouchova,Burial Mound,,Legacy verification,,Annual agriculture,,Pasture,grassland,Valley Bottom or Plain,,Super prominent,,42.14679999,26.69502744,4666120.471,474801.0208,3,272,190,North,ext 49,files/app/45afaa9a-d031-4e7d-89aa-6374a6827247_image-1536577036641.original.jpg,4.5,40,3,35,,,,,No,,,2 - minor damage,,Looting,,,2 - good,,Other,specify in Annotation (military activity),Unknown,,NA,concrete slabs on the top,files/app/bb35b727-71c2-492c-bae1-2f41906b79f8_image-1536577223920.original.jpg,POINT(474801.020791 4666120.470967)
