FID,Type,Condition,PrincipalS,TRAP,Topo_ID,Xtext,Ytext,Easting,Northing
0,Burial Mound,4 - seriously damaged,Agriculture,9500,0,26.13517719,42.37472892,428798.928294149,4691745.48991178
1,Burial Mound,3 - damaged,Agriculture,9501,0,26.13350168,42.37343225,428659.514538773,4691602.91596001
2,Burial Mound,3 - damaged,Agriculture,9502,0,26.16158218,42.36523758,430962.478551886,4690669.8189891
3,Burial Mound,3 - damaged,Agriculture,9503,0,26.15960901,42.37050762,430805.785892337,4691256.59317202
4,Uncertain Mound,4 - seriously damaged,Agriculture,9504,0,26.16438921,42.37431681,431203.527381754,4691675.67521865
5,Burial Mound,3 - damaged,Agriculture,9505,0,26.1651599,42.37405241,431266.690971454,4691645.69353148
6,Burial Mound,2 - minor damage,Animal activity,9506,0,26.16452806,42.37497185,431215.67394338,4691748.29668459
7,Burial Mound,2 - minor damage,Looting,9507,0,26.13264363,42.4036724,428623.13973156,4694961.42964221
8,Burial Mound,4 - seriously damaged,Looting,9508,0,26.1330311,42.40357143,428654.911393445,4694949.89268858
9,Burial Mound,5 - extinct or near extinct,Looting,9509,0,26.13337097,42.40357623,428682.885799166,4694950.14031246
10,Burial Mound,2 - minor damage,Looting,8100,0,26.13370833,42.40222518,428709.118545951,4694799.83947941
11,Burial Mound,2 - minor damage,Animal activity,9510,0,26.13168499,42.40430314,428544.966171383,4695032.27152082
12,Burial Mound,4 - seriously damaged,Looting,9511,0,26.13133157,42.40461911,428516.241202173,4695067.65347797
13,Burial Mound,4 - seriously damaged,Looting,9512,0,26.13115114,42.40480866,428501.608547985,4695088.85254483
14,Burial Mound,5 - extinct or near extinct,Looting,8101,0,26.13346202,42.40266094,428689.34199487,4694848.43204287
15,Burial Mound,5 - extinct or near extinct,Excavation,8102,0,26.13752645,42.40341649,429024.673182161,4694928.92319598
16,Extinct Burial Mound,5 - extinct or near extinct,Agriculture,8300,0,26.13347198,42.40069278,428687.932732531,4694629.88346385
17,Burial Mound,3 - damaged,Agriculture,9513,0,26.13481875,42.39465764,428791.944166618,4693958.62556672
18,Burial Mound,2 - minor damage,Post-depositional,8301,0,26.13289378,42.39780368,428637.074768356,4694309.56966019
19,Extinct Burial Mound,5 - extinct or near extinct,No observation,8103,0,26.13992744,42.40592688,429225.08060576,4695205.66851979
20,Uncertain Mound,5 - extinct or near extinct,No observation,8104,0,26.1390629,42.40836932,429156.686038288,4695477.59258806
21,Burial Mound,0 - No observation,Other,8302,0,26.12892326,42.39705737,428309.448709968,4694230.04350717
22,Uncertain Mound,1 - pristine,No observation,8105,0,26.14072092,42.40992288,429294.86420197,4695648.71534991
23,Uncertain Mound,4 - seriously damaged,Looting,9514,0,26.1432916,42.39738531,429492.353906749,4694254.43414073
24,Burial Mound,1 - pristine,Agriculture,8303,0,26.11879323,42.39523427,427473.630911635,4694036.20732728
25,Burial Mound,4 - seriously damaged,Agriculture,9517,0,26.22903625,42.40478628,436556.691718922,4695008.62880148
26,Extinct Burial Mound,5 - extinct or near extinct,Looting,8108,0,26.18663453,42.38970276,433051.362167582,4693366.32599252
27,Burial Mound,3 - damaged,Agriculture,9518,0,26.230018,42.4084193,436641.137485742,4695411.29823533
28,Burial Mound,4 - seriously damaged,Looting,9519,0,26.21493816,42.40888436,435400.745467392,4695474.29455278
29,Burial Mound,4 - seriously damaged,Looting,9520,0,26.2112497,42.41040418,435098.803602473,4695645.86342618
30,Burial Mound,2 - minor damage,Animal activity,8111,0,26.18076711,42.40267242,432582.29267676,4694811.08502098
31,Burial Mound,4 - seriously damaged,Looting,9521,0,26.2110756,42.41069685,435084.77975681,4695678.49388865
32,Burial Mound,2 - minor damage,Looting,8112,0,26.1736336,42.40382819,431996.4942394,4694945.10439671
33,Burial Mound,4 - seriously damaged,Looting,9522,0,26.21936852,42.41744756,435774.040406129,4696421.77419514
34,Burial Mound,1 - pristine,No observation,8113,0,26.16717167,42.40553013,431466.57694046,4695139.27667607
35,Burial Mound,2 - minor damage,Post-depositional,9523,0,26.21233709,42.4173977,435195.479286928,4696421.57871925
36,Burial Mound,4 - seriously damaged,Looting,8114,0,26.16557283,42.40019299,431329.187155252,4694547.94358591
37,Burial Mound,2 - minor damage,Looting,8115,0,26.17088944,42.39287284,431758.799635507,4693730.84804661
38,Burial Mound,4 - seriously damaged,Looting,9524,0,26.20075039,42.4160662,434240.79323253,4696282.63712148
39,Uncertain Mound,5 - extinct or near extinct,Looting,8116,0,26.18393613,42.39443578,432834.300663312,4693893.99812465
40,Burial Mound,4 - seriously damaged,Looting,9525,0,26.20036959,42.41636743,434209.777161501,4696316.37996396
41,Burial Mound,1 - pristine,No observation,9526,0,26.20014047,42.41651885,434191.084350828,4696333.37082349
42,Burial Mound,4 - seriously damaged,Looting,9527,0,26.19750504,42.41083284,433968.286695666,4695704.05352454
43,Burial Mound,4 - seriously damaged,Looting,9532,0,26.11139548,42.32282514,426780.74325945,4686002.4495416
44,Burial Mound,2 - minor damage,Agriculture,9533,0,26.12067399,42.31794629,427539.681845877,4685452.77744534
45,Burial Mound,1 - pristine,No observation,8118,0,26.03702863,42.36588961,420707.148031346,4690850.87165383
46,Burial Mound,3 - damaged,Agriculture,9534,0,26.13019391,42.32686093,428334.289175186,4686434.56402041
47,Burial Mound,2 - minor damage,Looting,8119,0,26.04062205,42.37154599,421010.127300651,4691475.59658332
