Column,MoundID,Type,DescriptionOfMoundOrLocale,PositionInTheLandscape,Condition,Feature_Facing,FacingDirection,Image_Verification,CentralFeature
11,8230,Uncertain Feature,could be a burial mound but is most probably a modern structure such as a bunker ,Valley Bottom or Plain,4 - seriously damaged,Cannot tell,NA,Bunker,Bunker
20,8515,Other,huge rectangular bunker from the cold war,Hilltop,0 - No observation,Not Recorded,NA,Bunker,Bunker
38,9653,Uncertain Feature,possible tank enclosure or ditch made by farmers,Hilltop,0 - No observation,Northeast,Northeast,Vehicle emplacement,Vehicle emplacement
40,8243,Other,tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound but now it is simply a depression from tank emplacement,Hilltop,4 - seriously damaged,North,North,Tank emplacement,Tank emplacement
41,9654,Uncertain Feature,tank enclosure - noticed en route from 9653,Hilltop,0 - No observation,South,South,Vehicle emplacement,Vehicle emplacement
42,8244,Other,a dug out approx  20m east from the previous tank emplacement (#8243,Hilltop,4 - seriously damaged,East,East,Tank emplacement,Tank emplacement
43,9655,Other,tank enclosure,Hilltop,0 - No observation,South,South,Tank emplacement,Tank emplacement
44,8245,Other,"1m high, stoney, military protrusion from landscape",Lower slope,3 - damaged,South,South,Uncertain,Uncertain
45,9656,Other,tank enclosure,Hilltop,0 - No observation,South,South,Vehicle emplacement,Vehicle emplacement
46,8246,Other,tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound d but now it is simply a depression from tank emplacement,Lower slope,4 - seriously damaged,South,South,Vehicle emplacement,Vehicle emplacement
47,8247,Other,trench against the Turkish in cold war,Lower slope,3 - damaged,South,South,Infantry trench,Infantry trench
51,8250,Other,"tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound d but now it is simply a depression from tank emplacement

8250=8246",Lower slope,4 - seriously damaged,South,South,Vehicle emplacement,Vehicle emplacement
53,8252,Other (military activity),similar to 8243. shallower and has large outcrops at the bottom. looks already excavated,Lower slope,5 - extinct or near extinct,West,West,Vehicle emplacement,Vehicle emplacement
54,9658,Uncertain Feature,tank enclosure - noticed en route,Hilltop,0 - No observation,Not Recorded,NA,Vehicle emplacement,Vehicle emplacement
57,8254,Burial Mound,second mound directly beside previous record. top has a flat area that could be suspicious but probably due to military during cold war ,Lower slope,1 - pristine,Not Recorded,NA,Cannot tell,NA
59,9661,Burial Mound,highly destroyed with almost no archaeological potential; large tank enclosure/embankment present,Hilltop,4 - seriously damaged,Not Recorded,NA,Tank emplacement,Tank emplacement
60,8255,Other,could be a military trench or a water resoivor sitting on a terrace over the South,Upper slope,3 - damaged,South,South,Vehicle emplacement,Vehicle emplacement
63,9662,Other (military tank embankment),tank embankment,Hilltop,0 - No observation,Southeast,Southeast,Tank emplacement,Tank emplacement
64,9663,Other (military concrete bunker under soil layer with concrete and brick arch (entrance)),overgrown with spiky bushes (modern but unused); entrances filled with soil with several small surrounding trenches,Hilltop,0 - No observation,Southwest,Southwest,Bunker,Bunker
71,9666,Uncertain Feature,double-ditch; two large military ditches side by side,Hilltop,0 - No observation,Cannot tell,NA,Infantry trench,Infantry trench
84,8524,Burial Mound,"wildly excavated from top, trenches all over the surface reaching 3meters, visible stratigraphy",Upper slope,4 - seriously damaged,South,South,Infantry trench,Infantry trench
95,9674,Other,"military tank embankment, 6 x 8 x 1 m, tank enclosure",Upper slope,0 - No observation,Not Recorded,NA,Tank emplacement,Tank emplacement
100,8269,Other (tank emplacement or resoivor),tankodrom above g sharkovo,Lower slope,0 - No observation (not applied),West,West,Tank emplacement,Tank emplacement
