"","TRAP","Zemlishte","DistanceZemlishte","DirectionToZemlishte","Easting","Northing","Source","Type","LU_Around","LU_Top","DiameterMax","HeightMax","Condition","PrincipalSourceOfImpact","elevAster","slopeAster","aspectAster","prom250mbuff","TPI","TRI","rough"
"1",9301,"Zimnitsa",3430.78895663533,37.0796499139303,465672.2654,4711422.5596,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","25","0.5","5","Agriculture",162.829528808594,2.45444240344238,128.176774652216,5.47,0.313737869262695,0.899717330932617,3.18055725097656
"2",9192,"Charda",3723.80750911229,4.24998709200261,468710.7137,4706566.4278,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","40","1","5","Agriculture",169.540451049805,4.04917916787943,308.838826577182,82.37,-0.155979156494141,1.51133728027344,5.06753540039062
"3",9193,"Dzhinot",657.577464954765,88.7747829062152,471224.6816,4706745.962,"Legacy verification","Burial Mound","Pasture","Pasture","45","2.5","1","Construction",181.363464355469,2.81319976709135,354.939053401091,50.72,-0.0123615264892578,1.17945671081543,3.58291625976562
"4",9199,"Charda",1897.49531165129,32.4402808485965,467968.8237,4708678.6025,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","40","1.5","5","Agriculture",138,2.49341797414086,60.3235717187846,56.47,0.734352111816406,0.792022705078125,3.7396240234375
"5",9195,"Charda",1433.11279217577,312.425175399072,470044.5437,4709313.1793,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","40","1.5","2","Agriculture",166.36865234375,4.1340430555509,340.23782565766,47.83,-0.326513290405273,1.72654914855957,5.0997314453125
"6",9196,"Charda",1073.75645436456,286.947801582236,470013.8026,4709966.9952,"Legacy verification","Burial Mound","Pasture","Pasture","35","4","5","Looting",168,1.20910407498472,259.755957269383,27.9,0.499465942382812,0.499465942382812,1.46026611328125
"7",9300,"Zimnitsa",2742.09191745692,339.398580962731,468705.6184,4711592.8992,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","40","0.4","5","Agriculture",129,0.862287966620108,186.586237843719,51.45,-0.212148666381836,0.335874557495117,1.0037841796875
"8",9197,"Zimnitsa",2884.58723528073,350.716323029567,468206.122,4711312.8325,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","25","0.8","5","Agriculture",133.375259399414,1.53988709484949,145.436304519763,66.55,-0.0763282775878906,0.592033386230469,1.9970703125
"9",9198,"Zimnitsa",2922.07935925302,352.41390741127,468126.5333,4711263.1324,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","20","1","3","Looting",131.764984130859,1.73443051646598,176.1911223137,16.91,-0.136409759521484,0.711002349853516,2.15072631835938
"10",9276,"Straldzha",4363.15032851549,21.6760782197941,473069.4105,4712100.0314,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","25","0.7","5","Agriculture",140,1.14728497912719,132.172476586769,16.49,-0.263427734375,0.478897094726562,1.81582641601562
"11",9274,"Straldzha",4356.69692510822,19.230194717631,473246.0381,4712041.0437,"Legacy verification","Burial Mound","Annual agriculture","Pasture","45","5","1","None",135.736557006836,2.06076206910276,79.5917360536368,12.86,0.0842494964599609,0.654939651489258,2.4439697265625
"12",9279,"Vodenichane",1259.68160385737,110.473839147002,473602.8206,4710929.145,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","40","2","5","Agriculture",131.650543212891,4.89343662183478,296.321803841851,70.91,0.219900131225586,1.58488273620605,5.87260437011719
"13",9280,"Vodenichane",1598.86173785062,74.3737504089195,473243.164,4710057.8629,"Legacy verification","Burial Mound","Pasture","Pasture","30","5","2","None",127.360061645508,3.38865701091893,21.6971878906754,52.16,0.0440435409545898,1.42155170440674,4.00283813476562
"14",9281,"Vodenichane",1599.21646682265,71.8925884899928,473262.9145,4709991.4985,"Legacy verification","Burial Mound","Pasture","Pasture","40","4","2","Looting",130.32975769043,3.65803816019661,18.7157219531679,77.09,-0.0338859558105469,1.5156135559082,4.52937316894531
"15",9273,"Vodenichane",1229.40184132033,328.691795382204,475421.7788,4709438.1522,"Legacy verification","Burial Mound","Annual agriculture","Scrub","25","2.5","3","Looting",138.809692382812,3.88399205658918,210.01972627671,23.27,-0.546476364135742,1.52815437316895,5.4381103515625
"16",9261,"Vodenichane",1667.98010197469,0.144623178126665,474778.7204,4708820.5592,"Legacy verification","Burial Mound","Annual agriculture","Pasture","35","3","4","Looting",140.311370849609,5.45806686950397,282.509408363127,19.64,-0.847356796264648,1.8032054901123,5.61785888671875
"17",9264,"Vodenichane",1654.12834644542,351.968206835922,475014.0497,4708850.6315,"Legacy verification","Burial Mound","Annual agriculture","Pasture","30","2.5","3","Looting",145.421188354492,3.94971564096402,355.132670513564,47.29,0.0476036071777344,1.64892578125,5.13539123535156
"18",9265,"Vodenichane",1750.04337632768,350.948525449816,475058.2505,4708760.2832,"Legacy verification","Burial Mound","Annual agriculture","Pasture","30","2.5","2","Looting",148.57373046875,1.513368027728,295.374832377185,68.12,-0.375463485717773,0.639440536499023,1.58200073242188
"19",9271,"Vodenichane",1709.45545104143,342.998052451423,475282.7826,4708853.7906,"Legacy verification","Burial Mound","Pasture","Pasture","20","1","5","Agriculture",147.110382080078,4.63925464873961,67.5325647494065,97.08,0.148298263549805,1.52700614929199,5.11882019042969
"20",9272,"Vodenichane",2075.24224500802,343.807390475794,475361.6477,4708495.6173,"Legacy verification","Burial Mound","Pasture","Pasture","40","2.5","4","Looting",154.54345703125,3.3379213915625,44.8321684673213,31.65,0.308881759643555,1.23383140563965,4.17924499511719
"21",9194,"Dzhinot",1202.52461372553,96.286260724486,470686.8146,4706891.6942,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","40","2","1","Agriculture",170.841598510742,2.71521766245733,188.290032067672,72,-0.0555057525634766,1.14420127868652,3.00337219238281
"22",9262,"Vodenichane",1558.86117085256,354.360978047641,474936.1054,4708937.2166,"Survey","Burial Mound","Annual agriculture","Annual agriculture","30","1.5","5","Agriculture",139.826553344727,3.44377114317327,46.5287142182729,23.91,-0.33228874206543,1.2345142364502,4.61735534667969
"23",9263,"Vodenichane",1575.03307748755,351.991072047963,475002.3759,4708928.8632,"Survey","Burial Mound","Annual agriculture","Pasture","30","3","2","Looting",138.760452270508,2.45332987212588,338.275259317031,61.37,-0.538669586181641,1.03093338012695,3.06658935546875
"24",9266,"Vodenichane",1575.87145490848,344.791992561292,475196.3196,4708967.8498,"Survey","Burial Mound","Pasture","Pasture","30","2","2","Looting",142.973159790039,3.71755001776269,346.555322072897,64.49,-0.262443542480469,1.54622268676758,4.18804931640625
"25",9267,"Vodenichane",1585.10207556244,343.811194489278,475224.8626,4708966.2841,"Survey","Uncertain Mound","Pasture","Pasture","20","1","5","Looting",143.384765625,3.26353504083873,354.473560256544,31.65,-0.0103416442871094,1.36166763305664,4.096923828125
