"","TRAP","Zemlishte","DistanceZemlishte","DirectionToZemlishte","Easting","Northing","Source","Type","LU_Around","LU_Top","DiameterMax","HeightMax","Condition","PrincipalSourceOfImpact","elevAster","slopeAster","aspectAster","prom250mbuff","TPI","TRI","rough"
"1",8570,"Slaveykovo",506.62668654588,303.563692387864,475536.744317949,4662936.4198325,"Legacy verification","Burial Mound","Annual agriculture","Scrub","42","0.5","4 - seriously damaged","Anthropogenic",232,0.142689784734882,304.121871556885,31.39,0.0474185943603516,0.0474185943603516,0.361785888671875
"2",8733,"Slaveykovo",544.653563316352,307.844858572186,475544.685863899,4662882.35644905,"Legacy verification","Burial Mound","Annual agriculture","Pasture","35","0.7","4 - seriously damaged","Agriculture",232,0.167040706698654,233.471676916478,82.14,0.0536651611328125,0.0536651611328125,0.39593505859375
"3",8571,"Slaveykovo",568.461319610083,302.768417652232,475592.585881479,4662908.83856971,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture","32","0.2","5 - extinct or near extinct","Agriculture",232.608306884766,1.1809816952793,251.156813968731,83.81,0.204299926757812,0.404006958007812,1
"4",8734,"Slaveykovo",579.40737148977,306.363951788758,475581.16424392,4662872.97750638,"Survey","Burial Mound","Annual agriculture","Annual agriculture","25","1.1","3 - damaged","Agriculture",232,0.879348826192854,233.13746920338,27.01,-0.269893646240234,0.28302001953125,1.02587890625
"5",8572,"Slaveykovo",820.894906659846,228.561111973643,475729.980369308,4663759.80064934,"Legacy verification","Burial Mound","Pasture","Pasture","41","2.2","2 - minor damage","Post-depositional",233.937393188477,1.61060027936222,169.141610018809,46.57,0.162822723388672,0.669105529785156,1.96684265136719
"6",8735,"Malomirovo",5538.51498702046,302.317720104984,475084.496594517,4662721.85731605,"Legacy verification","Burial Mound","Forest","Forest","40","6","3 - damaged","Looting",233.033126831055,0.546774546623445,42.3284813856782,66.43,-0.14942741394043,0.190835952758789,1
"7",8573,"Slaveykovo",821.971571884926,225.57129778239,475701.574672774,4663791.91279829,"Survey","Burial Mound","Scrub","Pasture","33","4","4 - seriously damaged","Looting",234.473785400391,1.59959074314908,250.848758759289,38.55,0.378671646118164,0.633073806762695,1.55729675292969
"8",8736,"Malomirovo",5496.99192028559,302.354822203206,475047.501611061,4662741.04853067,"Legacy verification","Burial Mound","Forest","Forest","20","0.5","5 - extinct or near extinct","Looting?",233,0.117952916577619,98.5318772062638,64.52,-0.0665092468261719,0.0665092468261719,0.349273681640625
"9",8574,"Slaveykovo",854.790496966958,226.291562744514,475732.48508657,4663807.16601604,"Survey","Burial Mound","Scrub","Pasture","36","4.5","4 - seriously damaged","Looting",234.493545532227,1.32244823386428,73.7527136399837,17.5,0.316352844238281,0.553585052490234,1.54148864746094
"10",8737,"Malomirovo",5389.71626473523,302.019678017141,474973.67421573,4662825.13942383,"Legacy verification","Burial Mound","Forest","Scrub","50","6","2 - minor damage","Looting",237,1.58872591908857,10.3848097223271,62.95,1.33728218078613,1.33728218078613,2.71812438964844
"11",8575,"Slaveykovo",822.160372016872,235.260783171705,475790.200348903,4663685.01690663,"Survey","Uncertain Feature","Annual agriculture","Pasture","21","0.3","3 - damaged","Agriculture",232.551361083984,2.43882061155551,30.1309027022898,22.26,-0.181039810180664,0.942155838012695,3.00236511230469
"12",8576,"Slaveykovo",789.800380879841,226.448900131872,475687.002467092,4663760.68873747,"Survey","Extinct Burial Mound","Pasture","Pasture","15","0.3","5 - extinct or near extinct","Erosion",233.934829711914,1.66224939433428,213.391361950364,9.71,0.341608047485352,0.727285385131836,2.45513916015625
"13",8577,"Slaveykovo",1000.07203545506,178.041086122608,475080.401313023,4664216.00288914,"Legacy verification","Burial Mound","Scrub","Scrub","35","3","3 - damaged","Looting",196.823455810547,2.75895868388366,21.4419967291985,63.9,0.150922775268555,1.13296318054199,3.33309936523438
"14",8738,"Lalkovo",3414.71640948029,160.01219223353,475539.598453519,4661452.83066883,"Legacy verification","Burial Mound","Pasture","Pasture","25","4","2 - minor damage","Looting",220.81169128418,4.65764279829337,316.357825842987,23.91,-0.478891372680664,1.69464683532715,5.81643676757812
"15",8739,"Slaveykovo",1138.07624988448,335.663087021802,475583.589481806,4662179.57081779,"Survey","Uncertain Feature","Annual agriculture","Annual agriculture","70","2","3 - damaged","Agriculture",228.252090454102,2.86326242097322,172.58296460225,86.13,-0.514068603515625,1.27207183837891,3.71405029296875
"16",8578,"Slaveykovo",1294.67270669124,239.005463688878,476224.401302315,4663883.21521001,"Legacy verification","Burial Mound","Pasture","Pasture","26","1","4 - seriously damaged","Looting",221.017990112305,3.17946496026456,37.290732913331,69.2,0.0377578735351562,1.24811553955078,4.52828979492188
"17",8740,"Malomirovo",3140.15200864224,295.044255604992,473248.835109943,4664353.5401237,"Legacy verification","Burial Mound","Scrub","Scrub","28","4","3 - damaged","Other (military)",163.695007324219,4.32112270464519,311.016163641503,15.05,-0.335296630859375,1.46040344238281,5.90031433105469
"18",8579,"Slaveykovo",1599.27827827799,256.72361409455,476671.121945077,4663583.78736229,"Legacy verification","Burial Mound","Annual agriculture","Scrub","36","1.2","3 - damaged","Agriculture",215.309295654297,3.26167505170721,51.7655613089601,98.21,0.3614501953125,1.06198501586914,4.12460327148438
"19",8741,"Malomirovo",2941.41647008546,301.893989726298,472901.259131292,4664128.72827469,"Survey","Burial Mound?","Annual agriculture","Scrub","35","2","3 - damaged","Looting",171.414138793945,7.59299217373295,13.2549394458829,60.65,-0.00160408020019531,3.18787574768066,9.10830688476562
"20",8580,"Lalkovo",4584.78609506612,185.408146212893,477138.932856751,4662808.17566701,"Survey","Burial Mound","Pasture","Scrub","17","0.5","3 - damaged","Animal activity",255.69873046875,5.55935552785215,345.526201398586,53.79,-0.377534866333008,2.30994987487793,7.06317138671875
"21",9740,"Malomirovo",3075.23391243526,312.613379605882,472667.101373014,4663600.74304756,"Survey","Burial Mound","Annual agriculture","Scrub","25","2.5","3 - damaged","Other (Military activity)",195.742126464844,5.8017669062818,318.565875574131,82.73,0.270204544067383,2.12781715393066,7.91453552246094
