TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,northing,easting
9411,Survey,Burial Mound,Scrub,Scrub,15,1.5,2,Nodata,1806.6578942190517,242.0523223876953,3.5276943008442165,133.3089076247677,7.17,0.5708179473876953,1.2953624725341797,4.609344482421875,4706736.7735,453727.1017
9416,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,20,2,3,Agriculture,1303.85116865909,187.92703247070312,3.0888410638814032,57.23310616901023,43.48,-0.268646240234375,1.1844978332519531,3.8489990234375,4707739.1148,452999.1197
9417,Legacy verification,Burial Mound,Pasture,Pasture,15,2,4,Looting,1276.7345071291188,185.9483184814453,3.12040073241399,53.89559572586262,12.04,-9.5367431640625e-6,1.007131576538086,4.0048980712890625,4707823.482,452996.9503
9409,Legacy verification,Burial Mound,Annual agriculture,Pasture,30,2,2,Agriculture,1486.6414629941642,215,0.5485046505095968,53.731018408682644,11.15,0.1759815216064453,0.1759815216064453,0.800994873046875,4707387.6436,454596.0148
9314,Legacy verification,Burial Mound,Pasture,Pasture,30,2,5,Looting,1502.0254359805049,227.6497344970703,3.669108718428512,111.89461758653337,67.27,0.22815322875976563,1.1987648010253906,4.38525390625,4706446.6945,453591.2748
9315,Legacy verification,Burial Mound,Pasture,Pasture,20,1,2,Looting,1564.9237556339351,210.4088592529297,2.5696172742588708,155.01225801659064,77.14,-0.29724693298339844,1.0532398223876953,3.665191650390625,4706455.1565,453884.8248
9415,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,25,1,5,Agriculture,745.2858215269844,212.1159210205078,1.5211344864255478,142.83909732823798,17.58,-0.031558990478515625,0.5766448974609375,2.1407012939453125,4705682.3939,453042.7758
9418,Legacy verification,Burial Mound,Pasture,Pasture,50,6,2,Looting,309.6090487218095,177.84768676757813,3.3725660029279187,14.954508554712895,67.87,0.2633075714111328,1.4070186614990234,4.04248046875,4708542.0055,455169.225
9319,Legacy verification,Burial Mound,Annual agriculture,Pasture,15,1,3,Agriculture,255.70125255507153,183.14630126953125,2.6161439931319173,291.09253531210464,65.95,0.079010009765625,0.87005615234375,2.9246368408203125,4708632.5212,454360.7674
9431,Legacy verification,Burial Mound,Pasture,Pasture,20,2,5,Looting,1006.1010055101801,144.01963806152344,3.487972486728552,353.33449942734006,83.09,0.7014713287353516,1.4097347259521484,4.79083251953125,4711124.5897,455348.259
9430,Legacy verification,Burial Mound,Pasture,Pasture,10,NA,5,Looting,966.9691144378762,147.04153442382812,3.9668552885406947,28.08201301827986,29.14,0.6184120178222656,1.5744400024414063,5.3402099609375,4711056.8619,455447.0054
9427,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,23,NA,5,Agriculture,447.5047409227832,143.20452880859375,2.5998933893571845,113.65725359944831,84.73,-0.11274528503417969,0.8582782745361328,2.96270751953125,4710154.2866,457299.0553
9428,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,NA,5,Agriculture,449.0629323265053,145.93890380859375,2.0783048380979565,119.57132435730915,73.55,0.277862548828125,0.72699737548828125,2.9634857177734375,4710086.421,457213.1636
9325,Legacy verification,Extinct Burial Mound,Pasture,Pasture,10,0.5,5,Looting,339.1857836310628,130.99188232421875,1.4897127990081829,37.74904890907611,69.31,-0.3079833984375,0.6148338317871094,1.9921875,4709902.0102,457983.105
9326,Legacy verification,Burial Mound,Pasture,Pasture,25,3,1,Looting,636.8854321153581,128.84930419921875,1.6199255557151295,359.27417474449715,75.54,-0.06307411193847656,0.6444606781005859,1.852294921875,4709905.2659,458325.457
9426,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,40,0.7,5,Agriculture,56.99445163745348,151.96755981445312,1.8329565032897934,43.290468299712224,81.52,-0.2510948181152344,0.68242645263671875,2.560150146484375,4708575.6075,457716.5261
9424,Survey,Burial Mound,Annual agriculture,Annual agriculture,10,NA,5,Nodata,64.37958175670637,154,1.2673848872231037,88.30487617282662,64.16,-0.06804847717285156,0.3861408233642578,1.0707244873046875,4708448.1471,457717.0106
9425,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,20,0.5,5,Agriculture,128.76629497660812,153,0.7427768535993029,110.23165389420004,77.82,0.2794189453125,0.2794189453125,0.931915283203125,4708451.2914,457781.6624
9323,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,40,0.4,5,Agriculture,66.56649387688068,156.5002899169922,1.3687740932304708,65.45220005635409,57.55,0.091266632080078125,0.4683952331542969,1.610748291015625,4708198.8668,457691.1375
9419,Legacy verification,Burial Mound,Annual agriculture,Scrub,25,4.5,2,Nodata,828.4068850320558,192.35377502441406,2.4557441719924915,0.3468838299441868,54.51,0.24178314208984375,0.9918670654296875,2.6561279296875,4708062.5047,455387.4026
9423,Legacy verification,Burial Mound,Annual agriculture,Pasture,60,12,1,Nodata,306.7273200473666,175,1.322508744469749,71.13943788361223,42.18,0.016355514526367188,0.40231895446777344,1.7430877685546875,4707887.0399,456857.7268
9324,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,1.8,3,Agriculture,773.1072766142177,143.24447631835937,1.4288677447692457,119.58945082492923,28.78,0.08984565734863281,0.46973228454589844,1.7461700439453125,4707849.2077,458343.1502
9400,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,55,1.8,2,Agriculture,1830.9637182138886,150.37330627441406,1.2907737710553544,305.685439572292,7.55,0.24190139770507813,0.5226783752441406,1.6306915283203125,4699462.7558,440587.1914
9402,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,35,1.5,5,Agriculture,2085.502955409332,149.56846618652344,1.5348861701836758,295.7898998799107,89.89,-0.11118316650390625,0.5117149353027344,2.0204925537109375,4698189.6861,441532.5891
9401,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,30,1,5,Agriculture,1644.1042871975565,148.43785095214844,0.9151417480128632,320.26488176996145,75.18,0.1281261444091797,0.4135417938232422,1.01300048828125,4698799.4916,440761.6189
9110,Legacy verification,Burial Mound,Annual agriculture,Scrub,60,6,4,Looting,691.80213922380506,156,2.524364730040809,80.13118877260492,22.94,-0.5717830657958984,0.8440494537353516,2.6772003173828125,4698117.5053,439942.4164
9404,Legacy verification,Burial Mound,Pasture,Pasture,20,1.5,4,Looting,2525.9122755457875,146.99156188964844,0.776280574943521,25.774069560116665,37.63,0.24817276000976563,0.2568244934082031,1.0002593994140625,4697076.9599,442104.8992
9407,Legacy verification,Burial Mound,Annual agriculture,Pasture,35,2,5,Construction,928.2950545448809,154,0.2571753444577978,90.99605840543666,82.31,0.12445640563964844,0.12445640563964844,0.592376708984375,4695457.6081,442620.1702
9406,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,50,1.5,5,Agriculture,1357.8005331069194,153.95831298828125,1.3304581161492526,350.84759489976676,60.29,-0.10126876831054687,0.52176666259765625,1.9970245361328125,4695904.1009,442144.1582
9078,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,50,2,5,Agriculture,1082.0302363052078,160,0.4998635319685365,339.0531957063015,36.82,0.05516815185546875,0.19185256958007813,0.9970245361328125,4694176.2629,440662.7273
9082,Legacy verification,Burial Mound,Pasture,Pasture,30,1.5,3,Construction,66.16662859391218,183.58700561523438,0.9456894947388262,20.9345584714758,77.06,0.1727886199951172,0.4051036834716797,1.1146240234375,4692894.2319,442848.2072
9339,Legacy verification,Burial Mound,Pasture,Pasture,20,1.5,2,Looting,746.7062532785823,228.99874877929687,4.4678683621407345,216.8094081551558,61.65,0.06256675720214844,1.6850910186767578,6.0072174072265625,4689523.7074,438907.8976
9072,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,60,2,5,Agriculture,983.1808351422791,216.28602600097656,3.0980548599908433,206.02639249429868,89.57,0.15089035034179688,1.278228759765625,4.4517059326171875,4689613.5605,438449.9585
9341,Legacy verification,Burial Mound,Pasture,Scrub,40,4,4,Looting,831.7949382400603,254.98690795898437,1.0483249360164755,183.59890079117642,61.29,0.5540981292724609,0.5604190826416016,1.459991455078125,4689097.2238,440595.1842
9340,Legacy verification,Burial Mound,Forest,Scrub,20,1,5,Bioturbation (forest),677.9177424883181,229.82667541503906,2.6783647290711574,177.4405234864432,44.6,-0.18737411499023438,1.0667381286621094,3.0068511962890625,4688732.996,439961.7278
9073,Legacy verification,Burial Mound,Pasture,Scrub,40,4,4,Looting,135.37613217030923,216.78663635253906,2.4253145013763024,211.45216781836075,88,-0.06989860534667969,0.9759273529052734,3.3631439208984375,4688872.4535,438872.2045
9076,Legacy verification,Burial Mound,Pasture,Scrub,80,3,5,Looting,274.17029712579733,211.83779907226562,3.7422723427946276,277.21172233420737,97.11,0.03616523742675781,1.219125747680664,3.14178466796875,4688908.8267,438717.9667
9044,Legacy verification,Burial Mound,Scrub,Pasture,50,6,5,Looting,1191.3757272943562,284.5562744140625,3.13438995346007,297.7773387478234,35.04,0.4067802429199219,1.2108497619628906,3.952423095703125,4688621.2911,445612.3567
9043,Legacy verification,Burial Mound,Scrub,Scrub,30,1.5,5,Looting,1115.0325298533437,282.4787292480469,8.119696390289446,169.70642970137894,53.43,0.87847137451171875,3.4077987670898437,9.8026123046875,4688495.3996,445721.6937
9023,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,30,2,5,Agriculture,1064.7646229784652,197.494384765625,2.2351555690799096,99.69486480953046,16.49,0.1738719940185547,0.6929454803466797,2.1718597412109375,4687614.3224,446895.2355
9037,Legacy verification,Burial Mound,Pasture,Pasture,32,2.5,1,None,491.3941521103352,203.94126892089844,1.4941144808419513,147.41227514470944,50.9,-0.17405319213867188,0.57707977294921875,1.9976043701171875,4688366.847,447748.4051
9040,Survey,Uncertain Mound,Annual agriculture,Pasture,30,2.2,1,Agriculture,633.0380224696573,202,0.31429053846791355,177.6016930599421,2.15,0.16907119750976563,0.16907119750976563,0.6136322021484375,4688287.3297,447908.2471
9349,Legacy verification,Burial Mound,Pasture,Pasture,40,2.5,2,Looting,2687.7275151172644,178.81036376953125,4.171070368274536,253.4607060158105,85.87,0.41398048400878906,1.3651142120361328,4.6117095947265625,4687620.7378,450139.4857
9346,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,40,2,3,Agriculture,2580.467005404649,125.93031311035156,1.5804709188621193,62.11539102055656,96.06,-0.0979452133178711,0.4967317581176758,2.3193740844726562,4688313.3684,450640.4538
9344,Legacy verification,Burial Mound,Pasture,Pasture,30,1.5,2,Looting,1956.576272817225,136.64593505859375,3.367981133598192,111.80733897990447,92.47,0.26155662536621094,1.1432476043701172,3.670562744140625,4689141.6257,450361.4002
9342,Legacy verification,Burial Mound,Pasture,Pasture,40,1.7,4,Agriculture,1776.0872403621156,146.8494110107422,3.880795912519899,63.997254911583,73.38,0.6344852447509766,1.3768367767333984,4.707672119140625,4689234.8043,450202.4913
9019,Legacy verification,Burial Mound,Pasture,Pasture,20,1,5,Looting,587.3954174638245,176.10043334960937,2.1309066503797873,33.27428457104631,34.17,0.2899932861328125,0.8355369567871094,2.7071990966796875,4690868.9712,446733.7361
